"","X","id","name","address","city","state","zip","telephone","type","status","population","county","country","lat","long","naics_code","naics_desc","source","sourcedate","val_date","website","alt_name","owner","beds","trauma","helipad","overall_type","tot_res","tot_staff","excess_bed","medicaidid","medicareid","state_lic","sourcetype","emergtitle","emergtel","emergext","st_vendor","st_version","geoprec","phoneloc","qc_qa","ucaoa_id","ny_metro"
"24",173,25411701,"Brunswick Hospital Center, Inc","81 Louden Avenue","Amityville","NY",11701,"(631) 789-7225","Psychiatric","open",124,"Suffolk","USA",40.685236608,-73.421145351,622210,"Psychiatric And Substance Abuse Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2016-09-13T00:00:00.000Z","http://www.brunswickhospitalcenter.org/",NA,"Proprietary",124,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"25",309,16511229,"New York Community Hospital","2525 Kings Highway","Brooklyn","NY",11229,"(718) 692-5300","General Acute Care","open",134,"Kings","USA",40.6137709920001,-73.948710782,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.nych.com",NA,"Non-Profit",134,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"26",919,2912601,"Vassar Brothers Medical Center","45 Reade Pl","Poughkeepsie","NY",12601,"(845) 454-8500","General Acute Care","open",365,"Dutchess","USA",41.6938589390001,-73.9357861139999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.healthquest.org/poughkeepsie/vassar-brothers-medical-center.aspx",NA,"Non-Profit",365,"LEVEL II","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"27",922,6411030,"North Shore University Hospital","300 Community Dr","Manhasset","NY",11030,"(516) 562-0100","General Acute Care","open",764,"Nassau","USA",40.7776359200001,-73.701610944,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.northshorelij.com/hospitals/location/north-shore-university-hospital",NA,"Non-Profit",764,"LEVEL I","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"28",923,6511554,"Nassau University Medical Center","2201 Hempstead Tpke","East Meadow","NY",11554,"(516) 572-0123","General Acute Care","open",530,"Nassau","USA",40.7262555130001,-73.553738015,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.nuhealth.net",NA,"Government - District/Authority",530,"LEVEL I","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"29",924,7011510,"South Nassau Communities Hospital","1 Healthy Way","Oceanside","NY",11510,"(516) 632-3000","General Acute Care","open",455,"Nassau","USA",40.6509979950001,-73.630839438,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.southnassau.org",NA,"Non-Profit",455,"LEVEL II","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"30",926,8712550,"St. Luke's Cornwall Hospital - Newburgh Campus","70 Dubois St","Newburgh","NY",12550,"(845) 561-4400","General Acute Care","open",242,"Orange","USA",41.5034248490001,-74.014565578,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.stlukescornwallhospital.org",NA,"Non-Profit",242,"LEVEL III","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"31",928,9310924,"Orange Regional Medical Center","707 East Main Street","Middletown","NY",10924,"(845) 333-1000","General Acute Care","open",353,"Orange","USA",41.441914083,-74.368312265,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.ormc.org/default.aspx",NA,"Non-Profit",353,"LEVEL II","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"32",935,10110960,"Nyack Hospital","160 N Midland Ave","Nyack","NY",10960,"(845) 348-2000","General Acute Care","open",375,"Rockland","USA",41.0962114710001,-73.926018132,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.nyackhospital.org",NA,"Non-Profit",375,"AREA","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"33",961,11711772,"Brookhaven Memorial Hospital Medical Center","101 Hospital Rd","Patchogue","NY",11772,"(631) 654-7100","General Acute Care","open",306,"Suffolk","USA",40.7800571880001,-72.977140649,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.bmhmc.org",NA,"Non-Profit",306,"AREA","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"34",962,11811968,"Southampton Hospital","240 Meeting House Lane","Southampton","NY",11968,"(516) 726-8200","General Acute Care","open",125,"Suffolk","USA",40.885059735,-72.379944064,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.southamptonhospital.org",NA,"Non-Profit",125,"LEVEL III","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"35",963,11911901,"Eastern Long Island Hospital","201 Manor Pl","Greenport","NY",11901,"(631) 477-1000","General Acute Care","open",90,"Suffolk","USA",41.1103605700001,-72.3611273189999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.elih.org",NA,"Non-Profit",90,NA,"Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"36",964,12211743,"Huntington Hospital","270 Park Ave","Huntington","NY",11743,"(516) 351-2000","General Acute Care","open",408,"Suffolk","USA",40.8793292410001,-73.416199532,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","https://www.northwell.edu/find-care/locations/huntington-hospital",NA,"Non-Profit",408,"LEVEL III","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"37",965,12311706,"Southside Hospital","301 E Main St","Bay Shore","NY",11706,"(631) 968-3000","General Acute Care","open",321,"Suffolk","USA",40.7259601480001,-73.2411586379999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","https://www.northwell.edu/find-care/locations/southside-hospital",NA,"Non-Profit",321,"LEVEL II","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"38",968,12810901,"Good Samaritan Hospital - West Islip","1000 Montauk Highway","West Islip","NY",10901,"(631) 376-3000","General Acute Care","open",437,"Suffolk","USA",40.693880129,-73.294394616,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://goodsamaritan.chsli.org/",NA,"Non-Profit",437,"LEVEL II","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"39",969,13112401,"Healthalliance Hospital - Broadway Campus","396 Broadway","Kingston","NY",12401,"(845) 334-2750","General Acute Care","open",150,"Ulster","USA",41.926658407,-73.994842067,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.hahv.org/broadway-campus/",NA,"Non-Profit",150,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"40",970,13212428,"Ellenville Regional Hospital","10 Healthy Way","Ellenville","NY",12428,"(845) 647-6400","Critical Access","open",25,"Ulster","USA",41.7326297920001,-74.379034975,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.ellenvilleregional.org",NA,"Non-Profit",25,NA,"Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"41",981,15210036,"Jacobi Medical Center","1400 Pelham Parkway South","Bronx","NY",10036,"(212) 430-5235","General Acute Care","open",457,"Bronx","USA",40.8562983570001,-73.847512147,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.nyc.gov/html/hhc/jacobi/home.html",NA,"Government - Local",457,"LEVEL I","Y","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"42",982,15310466,"Montefiore Medical Center - Moses Division","111 E 210th St","Bronx","NY",10466,"(718) 920-4321","General Acute Care","open",779,"Bronx","USA",40.880079256,-73.879826699,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.montefiore.org",NA,"Non-Profit",779,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"43",984,15610467,"North Central Bronx Hospital","3424 Kossuth Ave","Bronx","NY",10467,"(718) 519-5000","General Acute Care","open",213,"Bronx","USA",40.8803656010001,-73.881057106,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-01-02T00:00:00.000Z","http://www.nyc.gov/html/hhc/ncbh/html/home/home.shtml",NA,"Government - Local",213,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"44",986,16111212,"Brookdale Hospital Medical Center","1 Brookdale Plaza","Brooklyn","NY",11212,"(718) 240-5000","General Acute Care","open",530,"Kings","USA",40.655269102,-73.9125565319999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.brookdalehospital.org",NA,"Non-Profit",530,"LEVEL II","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"45",987,16211201,"Brooklyn Hospital Center","121 Dekalb Ave","Brooklyn","NY",11201,"(718) 250-8000","General Acute Care","open",464,"Kings","USA",40.6905725080001,-73.9778837649999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.tbh.org",NA,"Non-Profit",464,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"46",988,16310461,"Montefiore Westchester Square Medical Center","2475 Raymond Avenue","Bronx","NY",10461,"(718) 430-7300","General Acute Care","closed",NA,"Bronx","USA",40.8407431110001,-73.848517531,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.montefiore.org/westchestersquare",NA,"Non-Profit",NA,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"47",989,16411203,"Kings County Hospital Center","451 Clarkson Ave","Brooklyn","NY",11203,"(718) 245-2306","General Acute Care","open",639,"Kings","USA",40.656616381,-73.94469079,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-01-03T00:00:00.000Z","http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml",NA,"Government - Local",639,"LEVEL I","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"48",990,16611235,"Coney Island Hospital","2601 Ocean Parkway","Brooklyn","NY",11235,"(718) 616-3000","General Acute Care","open",371,"Kings","USA",40.5854143810001,-73.9653324339999,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-01-02T00:00:00.000Z","http://www.nyc.gov/html/hhc/html/facilities/coneyisland.shtml",NA,"Government - Local",371,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"49",991,16711201,"Long Island College Hospital","339 Hicks St","Brooklyn","NY",11201,"(212) 256-3600","General Acute Care","closed",506,"Kings","USA",40.690595268,-73.997877559,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-01-02T00:00:00.000Z","http://downstate.edu/lich/",NA,"Government - State",506,NA,"N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"50",992,16911209,"Nyu Lutheran Medical Center","150 55th St","Brooklyn","NY",11209,"(718) 630-7300","General Acute Care","open",396,"Kings","USA",40.6465639940001,-74.020914692,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.lutheranhealthcare.org/Main/LutheranMedicalCenter.aspx",NA,"Non-Profit",396,"LEVEL I","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
"51",993,17011215,"New York Methodist Hospital","506 6th St","Brooklyn","NY",11215,"(718) 780-3000","General Acute Care","open",591,"Kings","USA",40.6677617010001,-73.978990521,622110,"General Medical And Surgical Hospitals","https://profiles.health.ny.gov/hospital/county_or_region/","2018-08-20T00:00:00.000Z","2014-02-10T00:00:00.000Z","http://www.nym.org",NA,"Non-Profit",591,"LEVEL II","N","hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y"
