"","X1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"11",392,"334053","Bronx Psychiatric Center","1500 Waters Place","Bronx","NY",10461,"Bronx","(718) 931-0600","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.842762,40.846376,"medicare","Y"
"12",408,"310034","Riverview Medical Center","One Riverview Plaza","Red Bank","NJ",7701,"Monmouth","(732) 741-2700","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"13",420,"70028","St Vincent's Medical Center","2800 Main St","Bridgeport","CT",6606,"Fairfield","(203) 576-5551","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.202486,41.200083,"medicare","Y"
"14",505,"334061","Mid Hudson Forensic Psychiatric Ctr","Box 158 Route 17m","New Hampton","NY",10958,"Orange","(845) 374-3171","Psychiatric","Government - State",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,NA,NA,"medicare","Y"
"15",517,"330205","St Anthony Community Hospital","15 Maple Avenue -19","Warwick","NY",10990,"Orange","(845) 986-2276","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-74.356945,41.261094,"medicare","Y"
"16",549,"330231","Queens Hospital Center","82-68 164th Street","Jamaica","NY",11432,"Queens","(718) 883-3000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.803431,40.71698,"medicare","Y"
"17",661,"330141","Long Island Community Hospital","101 Hospital Road","Patchogue","NY",11772,"Suffolk","(631) 654-7100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-72.978147,40.779337,"medicare","Y"
"18",664,"33025F","Keller Ach (West Point)","900 Washington Rd","West Point","NY",10996,"Orange","(845) 938-4034","Acute Care - Department of Defense","Department of Defense",TRUE,NA,"Not Available",22,"Not Available",22,"Not Available",22,"Not Available",22,"Not Available",22,NA,22,NA,22,"Not Available",22,-73.976767,41.40072,"medicare","Y"
"19",678,"310012","Valley Hospital","223 N Van Dien Avenue","Ridgewood","NJ",7450,"Bergen","(201) 447-8000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-74.101761,40.983204,"medicare","Y"
"20",711,"70011","Charlotte Hungerford Hospital","540 Litchfield St","Torrington","CT",6790,"Litchfield","(860) 496-6666","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.133143,41.790846,"medicare","Y"
"21",776,"330385","North Central Bronx Hospital","3424 Kossuth Avenue & 210th Street","Bronx","NY",10467,"Bronx","(212) 519-5000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"2",NA,"Not Available",16,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,NA,NA,"medicare","Y"
"22",782,"314012","Hackensack Meridian Health Carrier Clinic","252 Route 601","Belle Mead","NJ",8502,"Somerset","(908) 281-1000","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.682233,40.464396,"medicare","Y"
"23",826,"314027","Cornerstone Behavioral Health Hospital Of Union Co","40 Watchung Way","Berkeley Heights","NJ",7922,"Union","(908) 771-5857","Psychiatric","Voluntary non-profit - Other",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.423732,40.667965,"medicare","Y"
"24",886,"330169","Mount Sinai Beth Israel","First Avenue At 16th Street","New York","NY",10003,"New York","(212) 420-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"2",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.9816,40.732665,"medicare","Y"
"25",955,"330199","Metropolitan Hospital Center","1901 First Avenue","New York","NY",10029,"New York","(212) 423-6262","Acute Care Hospitals","Government - Local",TRUE,TRUE,"2",NA,"Not Available",5,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.943636,40.78472,"medicare","Y"
"26",967,"330270","Hospital For Special Surgery","535 East 70th Street","New York","NY",10021,"New York","(212) 606-1000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Not Available",5,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,NA,16,"Not Available",5,-73.953128,40.764866,"medicare","Y"
"27",1013,"330127","Jacobi Medical Center","1400 Pelham Parkway South","Bronx","NY",10461,"Bronx","(718) 918-5000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.84721,40.857455,"medicare","Y"
"28",1014,"70018","Greenwich Hospital Association -","5 Perryridge Rd","Greenwich","CT",6830,"Fairfield","(203) 863-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-73.629632,41.034395,"medicare","Y"
"29",1124,"314019","Ramapo Ridge Psych Hosp","301 Sicomac Ave","Wyckoff","NJ",7481,"Bergen","(201) 848-5805","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.171489,40.98457,"medicare","Y"
"30",1228,"330024","Mount Sinai Hospital","One Gustave L Levy Place","New York","NY",10029,"New York","(212) 241-7981","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"31",1250,"330221","Wyckoff Heights Medical Center","374 Stockholm Street","Brooklyn","NY",11237,"Kings","(718) 963-7272","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.917648,40.704699,"medicare","Y"
"32",1268,"330194","Maimonides Medical Center","4802 Tenth Avenue","Brooklyn","NY",11219,"Kings","(718) 283-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.998668,40.63908,"medicare","Y"
"33",1336,"330009","Bronx-Lebanon Hospital Center","1276 Fulton Avenue","Bronx","NY",10456,"Bronx","(212) 588-7000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.903756,40.83175,"medicare","Y"
"34",1369,"331310","Ellenville Regional Hospital","10 Healthy Way","Ellenville","NY",12428,"Ulster","(845) 647-6400","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",16,"Below the national average",NA,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,-74.380624,41.732351,"medicare","Y"
"35",1389,"70022","Yale-New Haven Hospital","20 York St","New Haven","CT",6504,"New Haven","(203) 688-4242","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-72.934689,41.304285,"medicare","Y"
"36",1391,"330056","Brooklyn Hospital Center - Downtown Campus","121 Dekalb Avenue","Brooklyn","NY",11201,"Kings","(718) 250-8000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.9774,40.689785,"medicare","Y"
"37",1393,"330264","St Luke's Cornwall Hospital","70 Dubois Street","Newburgh","NY",12550,"Orange","(845) 561-4400","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.015176,41.503744,"medicare","Y"
"38",1409,"330100","N Y Eye And Ear Infirmary","230 Second Ave","New York","NY",10003,"New York","(212) 979-4000","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,NA,5,NA,16,"Not Available",16,-73.984816,40.732559,"medicare","Y"
"39",1412,"74011","Connecticut Mental Health Center","34 Park Street","New Haven","CT",6508,"New Haven","(203) 974-3000","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-72.936197,41.305287,"medicare","Y"
"40",1441,"310051","Overlook Medical Center","99 Beauvoir Avenue","Summit","NJ",7902,"Union","(908) 522-2000","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-74.354023,40.71241,"medicare","Y"
"41",1478,"310024","Robert Wood Johnson University Hospital At Rahway","865 Stone St","Rahway","NJ",7065,"Union","(732) 381-4200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.291688,40.612237,"medicare","Y"
"42",1556,"310003","Palisades Medical Center","7600 River Rd","North Bergen","NJ",7047,"Hudson","(201) 854-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.995765,40.794166,"medicare","Y"
"43",1577,"330214","Nyu Langone Hospitals","550 First Avenue","New York","NY",10016,"New York","(212) 263-7300","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.974661,40.74226,"medicare","Y"
"44",1578,"310083","East Orange General Hospital","300 Central Ave","East Orange","NJ",7018,"Essex","(973) 266-4401","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"1",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-74.213333,40.753707,"medicare","Y"
"45",1579,"330202","Kings County Hospital Center","451 Clarkson Avenue","Brooklyn","NY",11203,"Kings","(718) 245-3901","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.944039,40.655773,"medicare","Y"
"46",1591,"330014","Jamaica Hospital Medical Center","89th Avenue And Van Wyck Expressway","Jamaica","NY",11418,"Queens","(718) 262-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.816302,40.701412,"medicare","Y"
"47",1600,"70017","Midstate Medical Center","435 Lewis Avenue","Meriden","CT",6450,"New Haven","(203) 694-8200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-72.803878,41.550036,"medicare","Y"
"48",1629,"334066","Rockland Children's Psychiatric Center","2 First Ave","Orangeburg","NY",10962,"Rockland","(845) 680-8004","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.96979,41.046076,"medicare","Y"
"49",1636,"330396","Woodhull Medical & Mental Health Center","760 Broadway","Brooklyn","NY",11206,"Kings","(718) 963-8100","Acute Care Hospitals","Government - Local",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.941557,40.700512,"medicare","Y"
"50",1639,"330387","Rockefeller University Hospital","1230 York Avenue","New York","NY",10021,"New York","(212) 570-8000","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.956535,40.763049,"medicare","Y"
"51",1652,"330106","North Shore University Hospital","300 Community Drive","Manhasset","NY",11030,"Nassau","(516) 562-0100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.703029,40.779269,"medicare","Y"
"52",1667,"330273","Putnam Hospital Center","670 Stoneleigh Avenue","Carmel","NY",10512,"Putnam","(914) 279-5711","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-73.664475,41.384844,"medicare","Y"
"53",1690,"314013","Trenton Psychiatric Hosp","Station A","Trenton","NJ",8625,"Mercer","(609) 633-1586","Psychiatric","Government - State",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,NA,NA,"medicare","Y"
"54",1692,"330126","Orange Regional Medical Center","707 East Main Street","Middletown","NY",10940,"Orange","(845) 343-2424","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-74.369415,41.439962,"medicare","Y"
"55",1710,"310074","Jersey City Medical Center","355 Grand Street","Jersey City","NJ",7302,"Hudson","(201) 915-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.049952,40.716666,"medicare","Y"
"56",1771,"310045","Englewood Hospital And Medical Center","350 Engle St","Englewood","NJ",7631,"Bergen","(201) 894-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.967993,40.902855,"medicare","Y"
"57",1802,"310017","Chilton Medical Center","97 West Parkway","Pompton Plains","NJ",7444,"Morris","(973) 831-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.308102,40.959237,"medicare","Y"
"58",1869,"330236","New York-Presbyterian Brooklyn Methodist Hospital","506 Sixth Street","Brooklyn","NY",11215,"Kings","(718) 780-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.979141,40.668263,"medicare","Y"
"59",1966,"310112","Bayshore Medical Center","727 N Beers St","Holmdel","NJ",7733,"Monmouth","(732) 739-5900","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.193354,40.404203,"medicare","Y"
"60",2031,"334043","South Beach Psychiatric Center","777 Seaview Ave","Staten Island","NY",10305,"Richmond","(718) 667-2300","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.07829,40.579599,"medicare","Y"
"61",2063,"330160","Staten Island University Hospital","475 Seaview Avenue","Staten Island","NY",10305,"Richmond","(418) 226-9761","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-74.087013,40.584082,"medicare","Y"
"62",2067,"314020","Essex County Hospital Center","204 Grove Avenue","Cedar Grove","NJ",7009,"Essex","(973) 571-2801","Psychiatric","Government - Local",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.233594,40.851205,"medicare","Y"
"63",2117,"310016","Carepoint Health-Christ Hospital","176 Palisade Ave","Jersey City","NJ",7306,"Hudson","(201) 795-8200","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.050142,40.734876,"medicare","Y"
"64",2266,"330185","John T Mather Memorial Hospital  Of Port Jefferson","75 North Country Road","Port Jefferson","NY",11777,"Suffolk","(631) 473-1320","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.052951,40.938249,"medicare","Y"
"65",2311,"334054","Manhattan Psychiatric Center","Ward's Island","New York","NY",10035,"New York","(212) 369-0500","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,NA,NA,"medicare","Y"
"66",2313,"310073","Jersey Shore University Medical Center","1945 Rte 33","Neptune","NJ",7754,"Monmouth","(732) 775-5500","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,NA,NA,"medicare","Y"
"67",2320,"70004","Sharon Hospital","50 Hospital Hill Road","Sharon","CT",6069,"Litchfield","(860) 364-4228","Acute Care Hospitals","Proprietary",TRUE,TRUE,"5",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-73.481572,41.879662,"medicare","Y"
"68",2321,"310096","Saint Michael's Medical Center","111 Central Avenue","Newark","NJ",7102,"Essex","(973) 877-5350","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,TRUE,"3",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.174503,40.743034,"medicare","Y"
"69",2334,"310130","Hackensack Meridian Health Pascack Valley Medical","250 Old Hook Road","Westwood","NJ",7675,"Bergen","(201) 383-1035","Acute Care Hospitals","Proprietary",TRUE,NA,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-74.014195,40.983658,"medicare","Y"
"70",2335,"330043","Southside Hospital","301 East Main Street","Bay Shore","NY",11706,"Suffolk","(631) 968-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.240889,40.724858,"medicare","Y"
"71",2336,"330135","Bon Secours Community Hospital","160 East Main Street","Port Jervis","NY",12771,"Orange","(845) 856-5351","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-74.682593,41.367766,"medicare","Y"
"72",2344,"330167","Nyu Winthrop Hospital","259 First Street","Mineola","NY",11501,"Nassau","(516) 663-0333","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.643532,40.741648,"medicare","Y"
"73",2350,"330004","Healthalliance Hospital Broadway Campus","396 Broadway","Kingston","NY",12401,"Ulster","(914) 331-3131","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.995402,41.92635,"medicare","Y"
