"","X","drg_definition","id.x","name","address","city","state","zip","hospital_referral_region_hrr_description","total_discharges","average_covered_charges","average_total_payments","average_medicare_payments","county","ny_metro"
"29",27785,"287 - Circulatory Disorders Except Ami, W Card Cath W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",26,44011.5,10195.73,8919.85,"New Haven","Y"
"30",27786,"291 - Heart Failure & Shock W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",127,37373.94,12234.02,11096.21,"New Haven","Y"
"31",27787,"292 - Heart Failure & Shock W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",49,26067.55,8013.8,7138.84,"New Haven","Y"
"32",27788,"293 - Heart Failure & Shock W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",15,25642.07,6089.27,4782.6,"New Haven","Y"
"33",27789,"300 - Peripheral Vascular Disorders W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",21,28619.67,8557.76,7474.1,"New Haven","Y"
"34",27790,"305 - Hypertension W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",27,20372,6223.67,4994.37,"New Haven","Y"
"35",27791,"308 - Cardiac Arrhythmia & Conduction Disorders W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",27,34083.67,10674.26,9375.74,"New Haven","Y"
"36",27792,"309 - Cardiac Arrhythmia & Conduction Disorders W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",39,20459.18,7174.36,5483.46,"New Haven","Y"
"37",27793,"310 - Cardiac Arrhythmia & Conduction Disorders W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",29,19445.34,5325.41,3927.76,"New Haven","Y"
"38",27794,"312 - Syncope & Collapse",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",47,24411.26,7057.72,5870.13,"New Haven","Y"
"39",27795,"313 - Chest Pain",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",19,21849.26,6120.32,5150.42,"New Haven","Y"
"40",27796,"314 - Other Circulatory System Diagnoses W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",16,62742.31,16822.31,15871.88,"New Haven","Y"
"41",27797,"329 - Major Small & Large Bowel Procedures W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,235059.55,40171.18,38262,"New Haven","Y"
"42",27798,"330 - Major Small & Large Bowel Procedures W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",33,110907.45,21344.09,18307.42,"New Haven","Y"
"43",27799,"331 - Major Small & Large Bowel Procedures W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",14,81467.71,13638.93,12151.64,"New Haven","Y"
"44",27800,"371 - Major Gastrointestinal Disorders & Peritoneal Infections W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,61826.64,16485.36,15019.45,"New Haven","Y"
"45",27801,"372 - Major Gastrointestinal Disorders & Peritoneal Infections W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",16,24671.38,9633.75,8436.5,"New Haven","Y"
"46",27802,"377 - G.i. Hemorrhage W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",21,48994.43,14464.05,12983.62,"New Haven","Y"
"47",27803,"378 - G.i. Hemorrhage W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",64,24528.67,8687.91,7377.03,"New Haven","Y"
"48",27804,"388 - G.i. Obstruction W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",14,49398.14,14326,12921.64,"New Haven","Y"
"49",27805,"389 - G.i. Obstruction W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",29,21271.76,7759.31,6633.83,"New Haven","Y"
"50",27806,"390 - G.i. Obstruction W/O Cc/Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,14223.55,5641.91,4588.73,"New Haven","Y"
"51",27807,"391 - Esophagitis, Gastroent & Misc Digest Disorders W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",14,36155.29,10724,8991.64,"New Haven","Y"
"52",27808,"392 - Esophagitis, Gastroent & Misc Digest Disorders W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",58,15546.84,6764.07,5534.69,"New Haven","Y"
"53",27809,"394 - Other Digestive System Diagnoses W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",13,21714.46,8363.31,7077,"New Haven","Y"
"54",27810,"438 - Disorders Of Pancreas Except Malignancy W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,42103.82,14535.18,13189.64,"New Haven","Y"
"55",27811,"439 - Disorders Of Pancreas Except Malignancy W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",14,22582.79,8240.5,5855.21,"New Haven","Y"
"56",27812,"460 - Spinal Fusion Except Cervical W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",24,180228.33,33199.33,30187.62,"New Haven","Y"
"57",27813,"470 - Major Joint Replacement Or Reattachment Of Lower Extremity W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",171,81451.65,18632.11,14943.18,"New Haven","Y"
"58",27814,"481 - Hip & Femur Procedures Except Major Joint W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",24,65511.62,16598.75,15089.75,"New Haven","Y"
"59",27815,"483 - Major Joint/Limb Reattachment Procedure Of Upper Extremities",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",14,115150.93,21309,16268.36,"New Haven","Y"
"60",27816,"536 - Fractures Of Hip & Pelvis W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,15465.82,6242.73,4983.73,"New Haven","Y"
"61",27817,"552 - Medical Back Problems W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",23,21497.22,7698.26,6465,"New Haven","Y"
"62",27818,"554 - Bone Diseases & Arthropathies W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,15077.73,6602.27,5495.55,"New Haven","Y"
"63",27819,"563 - Fx, Sprn, Strn & Disl Except Femur, Hip, Pelvis & Thigh W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",11,23918.91,7008.91,5591.45,"New Haven","Y"
"64",27820,"603 - Cellulitis W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",59,21074.37,7464.39,6118.81,"New Haven","Y"
"65",27821,"638 - Diabetes W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",30,20362.73,7270.73,5953.4,"New Haven","Y"
"66",27822,"640 - Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",29,30195.45,10010.07,8677.76,"New Haven","Y"
"67",27823,"641 - Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",37,19624.92,6463.76,5256.46,"New Haven","Y"
"68",27824,"644 - Endocrine Disorders W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",12,26973.83,8012.67,7100.33,"New Haven","Y"
"69",27825,"682 - Renal Failure W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",63,43676.1,12615,11388.32,"New Haven","Y"
"70",27826,"683 - Renal Failure W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",70,25249.97,8385.73,6710.56,"New Haven","Y"
"71",27827,"689 - Kidney & Urinary Tract Infections W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",69,25964.19,8941.04,7705.75,"New Haven","Y"
"72",27828,"690 - Kidney & Urinary Tract Infections W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",84,20422.36,7005.93,5395.92,"New Haven","Y"
"73",27829,"698 - Other Kidney & Urinary Tract Diagnoses W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",47,37511.36,13025.49,12040.38,"New Haven","Y"
"74",27830,"699 - Other Kidney & Urinary Tract Diagnoses W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",21,23588.86,8662.29,7588.9,"New Haven","Y"
"75",27831,"812 - Red Blood Cell Disorders W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",25,17457.88,7717.56,6601.48,"New Haven","Y"
"76",27832,"853 - Infectious & Parasitic Diseases W O.r. Procedure W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",15,133008.6,38857.67,37362.2,"New Haven","Y"
"77",27833,"870 - Septicemia Or Severe Sepsis W Mv >96 Hours",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",14,182626.64,50320.57,48139.21,"New Haven","Y"
"78",27834,"871 - Septicemia Or Severe Sepsis W/O Mv >96 Hours W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",225,47528.48,14984.72,13662.6,"New Haven","Y"
"79",27835,"872 - Septicemia Or Severe Sepsis W/O Mv >96 Hours W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",53,26135.83,9381.06,7741.45,"New Haven","Y"
"80",27836,"896 - Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",15,47023.07,13875.93,12547.73,"New Haven","Y"
"81",27837,"897 - Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",40,17863.08,6763.15,6117.1,"New Haven","Y"
"82",27838,"917 - Poisoning & Toxic Effects Of Drugs W Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",20,53183.5,12280.65,10405.75,"New Haven","Y"
"83",27839,"918 - Poisoning & Toxic Effects Of Drugs W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",18,22798.94,6402.72,5600,"New Haven","Y"
"84",27840,"920 - Complications Of Treatment W Cc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",16,19621.69,8878.44,7501.81,"New Haven","Y"
"85",27841,"948 - Signs & Symptoms W/O Mcc",70005,"Waterbury Hospital","64 ROBBINS ST","Waterbury","CT",6721,"CT - New Haven",20,20816.85,6822.5,5813.45,"New Haven","Y"
"86",27842,"057 - Degenerative Nervous System Disorders W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",16,42323.69,9782.56,8523.94,"Fairfield","Y"
"87",27843,"064 - Intracranial Hemorrhage Or Cerebral Infarction W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",35,63775,16155.71,14208.86,"Fairfield","Y"
"88",27844,"065 - Intracranial Hemorrhage Or Cerebral Infarction W Cc Or Tpa In 24 Hrs",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",56,47250.73,8957.68,7677.07,"Fairfield","Y"
"89",27845,"066 - Intracranial Hemorrhage Or Cerebral Infarction W/O Cc/Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",15,39614.6,6757,5308.87,"Fairfield","Y"
"90",27846,"069 - Transient Ischemia",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",20,44536.9,6760.85,5740.65,"Fairfield","Y"
"91",27847,"086 - Traumatic Stupor & Coma, Coma <1 Hr W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",16,52754.44,10410.62,8082.75,"Fairfield","Y"
"92",27848,"091 - Other Disorders Of Nervous System W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",17,75783.06,16374.82,12310.47,"Fairfield","Y"
"93",27849,"092 - Other Disorders Of Nervous System W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",15,37897.53,8588.93,6547.27,"Fairfield","Y"
"94",27850,"100 - Seizures W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",17,56905.06,13021.47,12345.65,"Fairfield","Y"
"95",27851,"101 - Seizures W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",16,39987.69,7986.81,5780.5,"Fairfield","Y"
"96",27852,"175 - Pulmonary Embolism W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",12,49811.83,11577.83,10428.67,"Fairfield","Y"
"97",27853,"176 - Pulmonary Embolism W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",15,36478.47,7790.07,6495.13,"Fairfield","Y"
"98",27854,"177 - Respiratory Infections & Inflammations W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",38,41644.68,15513.68,13695.11,"Fairfield","Y"
"99",27855,"178 - Respiratory Infections & Inflammations W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",14,46667.71,11328.86,10289.43,"Fairfield","Y"
"100",27856,"189 - Pulmonary Edema & Respiratory Failure",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",33,49121.52,10733.76,9486.48,"Fairfield","Y"
"101",27857,"190 - Chronic Obstructive Pulmonary Disease W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",68,43087.09,10248.57,8646.21,"Fairfield","Y"
"102",27858,"191 - Chronic Obstructive Pulmonary Disease W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",48,32490.9,8284.58,6985.23,"Fairfield","Y"
"103",27859,"192 - Chronic Obstructive Pulmonary Disease W/O Cc/Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",15,26739.27,6657.6,5432.4,"Fairfield","Y"
"104",27860,"193 - Simple Pneumonia & Pleurisy W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",54,48399.44,12010.19,10638.41,"Fairfield","Y"
"105",27861,"194 - Simple Pneumonia & Pleurisy W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",70,30129.41,8373.23,7017.89,"Fairfield","Y"
"106",27862,"195 - Simple Pneumonia & Pleurisy W/O Cc/Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",15,28353.87,6440.33,5063,"Fairfield","Y"
"107",27863,"202 - Bronchitis & Asthma W Cc/Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",25,29974.36,8034.32,6779.76,"Fairfield","Y"
"108",27864,"208 - Respiratory System Diagnosis W Ventilator Support <=96 Hours",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",13,61919.23,19530.15,18590.92,"Fairfield","Y"
"109",27865,"242 - Permanent Cardiac Pacemaker Implant W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",12,150881.58,32464.58,31166.08,"Fairfield","Y"
"110",27866,"243 - Permanent Cardiac Pacemaker Implant W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",19,83570.63,21691.11,20353.32,"Fairfield","Y"
"111",27867,"246 - Perc Cardiovasc Proc W Drug-Eluting Stent W Mcc Or 4+ Vessels/Stents",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",34,134217.5,30144.94,26232.24,"Fairfield","Y"
"112",27868,"247 - Perc Cardiovasc Proc W Drug-Eluting Stent W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",40,92576.25,18667.35,16629.52,"Fairfield","Y"
"113",27869,"252 - Other Vascular Procedures W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",13,119929.15,30362.54,29275.54,"Fairfield","Y"
"114",27870,"253 - Other Vascular Procedures W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",11,99436.55,22291.36,21290.27,"Fairfield","Y"
"115",27871,"264 - Other Circulatory System O.r. Procedures",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",12,98641.25,25956.58,24626.08,"Fairfield","Y"
"116",27872,"266 - Endovascular Cardiac Valve Replacement W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",21,171005.05,63744.38,62702,"Fairfield","Y"
"117",27873,"267 - Endovascular Cardiac Valve Replacement W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",13,152706.38,51259.85,50036.46,"Fairfield","Y"
"118",27874,"269 - Aortic And Heart Assist Procedures Except Pulsation Balloon W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",11,110825.18,33284.91,31901.09,"Fairfield","Y"
"119",27875,"280 - Acute Myocardial Infarction, Discharged Alive W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",19,68232.37,16184.32,14731.42,"Fairfield","Y"
"120",27876,"281 - Acute Myocardial Infarction, Discharged Alive W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",19,45236,8755.16,7600.84,"Fairfield","Y"
"121",27877,"286 - Circulatory Disorders Except Ami, W Card Cath W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",15,98408.67,20187.47,15901.53,"Fairfield","Y"
"122",27878,"287 - Circulatory Disorders Except Ami, W Card Cath W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",17,67745.12,11316.53,8299.53,"Fairfield","Y"
"123",27879,"291 - Heart Failure & Shock W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",136,41360.93,12523.1,11121.96,"Fairfield","Y"
"124",27880,"292 - Heart Failure & Shock W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",71,33053.27,8473.41,7175.97,"Fairfield","Y"
"125",27881,"293 - Heart Failure & Shock W/O Cc/Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",25,30543.2,6403.44,4795.96,"Fairfield","Y"
"126",27882,"300 - Peripheral Vascular Disorders W Cc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",18,39134.83,8929.72,7696.83,"Fairfield","Y"
"127",27883,"305 - Hypertension W/O Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",19,32999,7047.74,4545,"Fairfield","Y"
"128",27884,"308 - Cardiac Arrhythmia & Conduction Disorders W Mcc",70006,"Stamford Hospital","ONE HOSPITAL PLAZA","Stamford","CT",6904,"CT - Bridgeport",38,45949.66,10655.89,9247.05,"Fairfield","Y"
