id,name,address,city,state,zip,telephone,type,status,population,county,country,lat,long,naics_code,naics_desc,source,sourcedate,val_date,website,alt_name,owner,beds,trauma,helipad,overall_type
4299205,Spokane Va Medical Center,4815 N. Assembly St.,Spokane,WA,99205,(509) 434-7000,Military,open,132,Spokane,USA,47.7024729190001,-117.477695957,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.spokane.va.gov/,NA,Government - Federal,132,NA,N,hospital
6943420,"Physician's Choice Hospital - Fremont, Llc",2390 Enterprise Drive,Fremont,OH,43420,(419) 461-1057,General Acute Care,closed,NA,Sandusky,USA,41.3797405550001,-83.1158806559999,622110,General Medical And Surgical Hospitals,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2012-07-23T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.physicianschoicehospital.com,NA,Non-Profit,NA,NA,Y,hospital
10137650,Unicoi County Memorial Hospital,100 Greenway Circle,Erwin,TN,37650,(423) 743-3141,General Acute Care,open,83,Unicoi,USA,36.1336207190001,-82.413051583,622110,General Medical And Surgical Hospitals,https://apps.health.tn.gov/FacilityListings,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.ucmhnet.org,NA,Non-Profit,83,NA,Y,hospital
9198502,Capital Medical Center,3900 Capital Mall Dr Sw,Olympia,WA,98502,(360) 754-5858,General Acute Care,open,110,Thurston,USA,47.0427309150001,-122.9517868,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.capitalmedical.com,providence saint peter hospital,Proprietary,110,NA,Y,hospital
7499328,Dayton General Hospital,1012 S 3rd St,Dayton,WA,99328,(509) 382-2531,Critical Access,open,25,Columbia,USA,46.3121047760001,-117.970253847,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.cchd-wa.org,saint mary medical center,Government - Local,25,LEVEL V,Y,hospital
6499133,Coulee Medical Center,411 Fortuyn Rd,Grand Coulee,WA,99133,(509) 633-1753,Critical Access,open,25,Grant,USA,47.9424495220001,-119.007592907,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.cmccares.org,lincoln hospital,Government - District/Authority,25,LEVEL IV,Y,hospital
3299301,Lourdes Medical Center,520 4th Ave N,Pasco,WA,99301,(509) 547-7704,Critical Access,open,106,Franklin,USA,46.2350255950001,-119.09538616,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.lourdesmed.org,kennewick general hospital,Non-Profit,106,LEVEL IV,Y,hospital
6398278,Naval Hospital Oak Harbor,3475 N. Saratoga St.,Oak Harbor,WA,98278,(360) 257-9500,Military,open,25,Island,USA,48.3364589930001,-122.681212829,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.med.navy.mil/sites/nhoh/Pages/default.aspx,NA,Government - Federal,25,NA,Y,hospital
8998239,Whidbey General Hospital,101 Main Street North,Coupeville,WA,98239,(360) 678-5151,Critical Access,open,51,Island,USA,48.2138932940001,-122.684326801,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.whidbeygen.org,whidbeyhealth medical center,Government - District/Authority,51,LEVEL III,Y,hospital
3898114,Swedish Medical Center - First Hill Campus,747 Broadway,Seattle,WA,98114,(206) 386-6000,General Acute Care,open,748,King,USA,47.6086612670001,-122.321621089,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.swedish.org/,virginia mason medical center,Non-Profit,748,NA,N,hospital
4898195,University Of Washington Medical Center,1959 Pacific St Ne,Seattle,WA,98195,(206) 548-6486,General Acute Care,open,450,King,USA,47.6508581350001,-122.309260631,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.uwmedicine.org,childrens hospital & regional medical center,Government - State,450,NA,N,hospital
5098034,Lakeside Milam Recovery Center,10322 Ne 132nd St.,Kirkland,WA,98034,(425) 823-3116,Rehabilitation,open,25,King,USA,47.719387236,-122.202139637,622310,"Rehabilitation Hospitals (Except Alcoholism, Drug Addiction)",https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.lakesidemilam.com,NA,Proprietary,25,NA,N,hospital
9098101,Virginia Mason Medical Center,925 Seneca Street,Seattle,WA,98101,(206) 624-1144,General Acute Care,open,336,King,USA,47.6097766840001,-122.327866797,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.virginiamason.org,swedish medical center - first hill,Non-Profit,336,NA,N,hospital
9498146,Shick Shadel Hosptial,12101 Ambaum Blvd. S.w,Seattle,WA,98146,(206) 244-8100,Psychiatric,open,63,King,USA,47.49433229,-122.350698997,622210,Psychiatric And Substance Abuse Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.schickshadel.com,NA,Proprietary,63,NA,N,hospital
10498034,Bhc Fairfax Hospital,10200 Ne 132nd St,Kirkland,WA,98034,(425) 821-2000,Psychiatric,open,95,King,USA,47.7191221530001,-122.204273414,622210,Psychiatric And Substance Abuse Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.fairfaxhospital.com,NA,Proprietary,95,NA,N,hospital
11098112,Group Health Cooperative/Central Hospital,201 16th Avenue East,Seattle,WA,98112,(206) 326-3000,General Acute Care,open,306,King,USA,47.6199818800001,-122.31205809,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.ghc.org/,swedish medical center - first hill,Proprietary,306,NA,N,hospital
12198052,Swedish Medical Center - Redmond Ed,18100 Union Hill Road,Redmond,WA,98052,(425) 498-2020,General Acute Care,open,NA,King,USA,47.6763133010001,-122.099126908,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.swedish.org/,NA,Non-Profit,NA,NA,N,hospital
6938372,Hardin Medical Center,935 Wayne Rd.,Savannah,TN,38372,(731) 926-8121,General Acute Care,open,58,Hardin,USA,35.2279311230001,-88.2303470849999,622110,General Medical And Surgical Hospitals,https://apps.health.tn.gov/FacilityListings,2018-08-10T00:00:00.000Z,2013-09-10T00:00:00.000Z,http://www.hardinmedicalcenter.org,NA,Government - Local,58,NA,Y,hospital
4744223,Summa Western Reserve Hospital,1900 23rd Street,Cuyahoga Falls,OH,44223,(330) 971-7000,General Acute Care,open,272,Summit,USA,41.1329909660001,-81.511095847000007,622110,General Medical And Surgical Hospitals,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,2014-01-31T00:00:00.000Z,http://www.westernreservehospital.org,NA,Proprietary,272,NA,N,hospital
6298383,Harrison Medical Center - Silverdale,1800 Nw Myhre Rd,Silverdale,WA,98383,(360) 337-8800,General Acute Care,open,44,Kitsap,USA,47.655548347,-122.675405855,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.harrisonmedical.org,harrison memorial hospital,Proprietary,44,NA,N,hospital
8798310,Harrison Medical Center,2520 Cherry Ave,Bremerton,WA,98310,(360) 377-3911,General Acute Care,open,297,Kitsap,USA,47.5831532990001,-122.62504593,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.harrisonmedical.org,harrison memorial hospital - silverdale,Proprietary,297,LEVEL III,Y,hospital
15844621,Trinity Hospital Twin City,819 North First Street,Dennison,OH,44621,(740) 922-2800,Critical Access,open,25,Tuscarawas,USA,40.4016215940001,-81.336686132,622110,General Medical And Surgical Hospitals,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,2014-03-12T00:00:00.000Z,http://www.trinitytwincity.org,NA,Non-Profit,25,NA,Y,hospital
1798672,Skyline Hospital,211 Skyline Dr,White Salmon,WA,98672,(509) 493-1101,Critical Access,open,25,Klickitat,USA,45.7223792440001,-121.470530676,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.skylinehospital.com,klickitat valley hospital,Government - District/Authority,25,LEVEL IV,Y,hospital
3198620,Klickitat Valley Health,310 South Roosevelt,Goldendale,WA,98620,(509) 773-4022,Critical Access,open,17,Klickitat,USA,45.8201803320001,-120.811106011,622110,General Medical And Surgical Hospitals,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.kvhealth.net/,toppenish community hospital,Government - District/Authority,17,LEVEL IV,Y,hospital
283544,Clearwater Valley Hospital And Clinics,301 Cedar,Orofino,ID,83544,(208) 476-4555,General Acute Care,open,23,Clearwater,USA,46.486929155,-116.259769495,622110,General Medical And Surgical Hospitals,http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2018-08-09T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.smh-cvhc.org,NA,Non-Profit,23,NA,Y,hospital
583544,Idaho State Hospital North,300 Hospital Drive,Orofino,ID,83544,(208) 476-4511,Psychiatric,open,60,Clearwater,USA,46.4917567310001,-116.260389527,622110,General Medical And Surgical Hospitals,http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2018-08-09T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://healthandwelfare.idaho.gov,NA,Government - State,60,NA,N,hospital
2483843,Gritman Medical Center,700 South Main Street,Moscow,ID,83843,(208) 882-4511,General Acute Care,open,25,Latah,USA,46.7282264580001,-117.000547346,622110,General Medical And Surgical Hospitals,http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2018-08-09T00:00:00.000Z,2014-03-12T00:00:00.000Z,http://www.gritman.org,NA,Non-Profit,25,NA,Y,hospital
1597015,Kaiser Sunnyside Medical Center,10180 Se Sunnyside Road,Clackamas,OR,97015,NOT AVAILABLE,General Acute Care,open,269,Clackamas,USA,45.431320359,-122.560466192,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,https://healthy.kaiserpermanente.org,NA,Non-Profit,269,NA,N,hospital
3597222,Providence Milwaukie Hospital,10150 Se 32nd Avenue,Milwaukie,OR,97222,NOT AVAILABLE,General Acute Care,open,63,Clackamas,USA,45.449366378,-122.627562906,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://oregon.providence.org/patients/facilities/providence-milwaukie-hospital/Pages/default.aspx,NA,Non-Profit,63,NA,N,hospital
797103,Columbia Memorial Hospital,2111 Exchange Street,Astoria,OR,97103,NOT AVAILABLE,General Acute Care,open,242,Clatsop,USA,46.188002055,-123.818592264,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-03-12T00:00:00.000Z,www.columbiamemorial.com,NA,Non-Profit,242,LEVEL IV,Y,hospital
3897138,Providence Seaside Hospital,725 S Wahanna Road,Seaside,OR,97138,NOT AVAILABLE,General Acute Care,open,47,Clatsop,USA,45.989015017,-123.91206867,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,http://www.providence.org,NA,Non-Profit,47,NA,Y,hospital
3483837,Shoshone Medical Center,25 Jacob's Gulch Road,Kellogg,ID,83837,(208) 784-1221,General Acute Care,open,25,Shoshone,USA,47.546398267,-116.130613096,622110,General Medical And Surgical Hospitals,http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2018-08-09T00:00:00.000Z,2013-11-12T00:00:00.000Z,http://www.shoshonehealth.com,NA,Government - District/Authority,25,NA,Y,hospital
2114203,Buffalo General Medical Center,100 High St,Buffalo,NY,14203,(716) 859-5600,General Acute Care,open,501,Erie,USA,42.9008684130001,-78.8662097609999,622110,General Medical And Surgical Hospitals,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00.000Z,2014-03-12T00:00:00.000Z,http://www.kaleidahealth.org/bgmc/,kaleida health adult hospital dba buffalo general hospital,Non-Profit,501,NA,Y,hospital
1283861,Benewah Community Hospital,229 South Seventh Street,St. Maries,ID,83861,(208) 245-5551,General Acute Care,open,19,Benewah,USA,47.3146595220001,-116.567579221,622110,General Medical And Surgical Hospitals,http://healthandwelfare.idaho.gov/Portals/0/Medical/LicensingCertification/AlphaHospital.pdf,2018-08-09T00:00:00.000Z,2014-03-12T00:00:00.000Z,http://www.bchmed.org,NA,Government - Local,19,NA,Y,hospital
697225,Cedar Hills Hospital,Sw Eastridge Street,Portland,OR,97225,NOT AVAILABLE,Psychiatric,open,78,Washington,USA,45.5058697160001,-122.783081866,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.cedarhillshospital.com/,NA,Proprietary,78,NA,N,hospital
2597015,Mid-Columbia Medical Center,1700 E 19th Street,The Dalles,OR,97015,NOT AVAILABLE,General Acute Care,open,49,Wasco,USA,45.5872715880001,-121.16451957,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-02-10T00:00:00.000Z,www.mcmc.net,NA,Non-Profit,49,LEVEL III,Y,hospital
6697828,Wallowa Memorial Hospital,601 Medical Parkway,Enterprise,OR,97828,NOT AVAILABLE,Critical Access,open,57,Wallowa,USA,45.432365256,-117.284461316,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2013-11-11T00:00:00.000Z,www.wchcd.org,NA,Government - District/Authority,57,LEVEL IV,Y,hospital
197216,Adventist Medical Center,10123 Se Market Street,Portland,OR,97216,NOT AVAILABLE,General Acute Care,open,217,Multnomah,USA,45.5127103470001,-122.558434241,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-03-12T00:00:00.000Z,www.adventisthealthnw.com,NA,Non-Profit,217,NA,Y,hospital
1797227,Legacy Emanuel Medical Center,2801 N Gantenbein Avenue,Portland,OR,97227,NOT AVAILABLE,General Acute Care,open,407,Multnomah,USA,45.543285881,-122.67022181,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-03-12T00:00:00.000Z,www.legacyhealth.org,NA,Non-Profit,407,LEVEL I,Y,hospital
2097030,Legacy Mount Hood Medical Center,24800 Se Stark Street,Gresham,OR,97030,NOT AVAILABLE,General Acute Care,open,111,Multnomah,USA,45.5167841310001,-122.406989129,622110,General Medical And Surgical Hospitals,https://public.health.oregon.gov/ProviderPartnerResources/HealthcareProvidersFacilities/HealthcareHealthCareRegulationQualityImprovement/Pages/forms.aspx#Hospital,2018-08-10T00:00:00.000Z,2014-03-12T00:00:00.000Z,www.legacyhealth.org,NA,Non-Profit,111,NA,Y,hospital
