"Table with row headers in columns A and B, column headers in rows 4 and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table HIC-4_ACS. Health Insurance Coverage Status and Type of Coverage by State All People: 2008 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Numbers in thousands. Civilian noninstitutionalized population. Margins of error calculated using replicate weights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation/State,Coverage,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,
,..Medicare,"56,869",63,17.6,Z,"55,473",60,17.3,Z,"54,126",60,17.0,Z,"52,694",63,16.7,Z,"51,112",53,16.3,Z,"49,419",61,15.9,Z,"47,908",52,15.5,Z,"46,098",56,15.0,Z,"44,818",60,14.7,Z,"43,491",55,14.4,Z,"42,649",60,14.3,Z
,..VA Care,"7,477",44,2.3,Z,"7,290",53,2.3,Z,"7,291",44,2.3,Z,"7,044",43,2.2,Z,"6,911",46,2.2,Z,"6,735",43,2.2,Z,"6,700",39,2.2,Z,"6,471",43,2.1,Z,"6,266",41,2.1,Z,"6,201",41,2.1,Z,"6,261",42,2.1,Z
ALABAMA,Total,"4,810",2,100.0,Z,"4,794",2,100.0,Z,"4,783",2,100.0,Z,"4,781",1,100.0,Z,"4,767",2,100.0,Z,"4,755",2,100.0,Z,"4,742",2,100.0,Z,"4,720",2,100.0,Z,"4,703",2,100.0,Z,"4,616",2,100.0,Z,"4,575",2,100.0,Z
,Any coverage,"4,329",15,90.0,0.3,"4,345",16,90.6,0.3,"4,348",14,90.9,0.3,"4,297",16,89.9,0.3,"4,188",17,87.9,0.4,"4,110",17,86.4,0.4,"4,109",17,86.7,0.4,"4,046",19,85.7,0.4,"4,016",17,85.4,0.4,"3,979",17,86.2,0.4,"3,966",18,86.7,0.4
,Uninsured,481,15,10.0,0.3,449,16,9.4,0.3,435,14,9.1,0.3,484,16,10.1,0.3,579,17,12.1,0.4,645,17,13.6,0.4,632,17,13.3,0.4,674,19,14.3,0.4,687,17,14.6,0.4,637,17,13.8,0.4,609,17,13.3,0.4
,Private,"3,202",26,66.6,0.5,"3,205",27,66.9,0.6,"3,249",24,67.9,0.5,"3,198",26,66.9,0.5,"3,132",26,65.7,0.5,"3,080",25,64.8,0.5,"3,088",25,65.1,0.5,"3,061",23,64.9,0.5,"3,075",27,65.4,0.6,"3,097",26,67.1,0.6,"3,170",24,69.3,0.5
,..Employer-based,"2,578",30,53.6,0.6,"2,552",28,53.2,0.6,"2,560",26,53.5,0.5,"2,545",25,53.2,0.5,"2,525",28,53.0,0.6,"2,489",25,52.3,0.5,"2,546",25,53.7,0.5,"2,506",20,53.1,0.4,"2,513",29,53.4,0.6,"2,558",28,55.4,0.6,"2,644",22,57.8,0.5
,..Direct-purchase,642,15,13.4,0.3,671,16,14.0,0.3,712,16,14.9,0.3,677,15,14.2,0.3,610,14,12.8,0.3,619,16,13.0,0.3,644,17,13.6,0.4,593,16,12.6,0.3,614,14,13.1,0.3,639,16,13.8,0.4,668,17,14.6,0.4
,..TRICARE,219,12,4.6,0.2,215,10,4.5,0.2,215,10,4.5,0.2,208,10,4.3,0.2,211,11,4.4,0.2,206,10,4.3,0.2,216,10,4.6,0.2,221,8,4.7,0.2,206,10,4.4,0.2,184,8,4.0,0.2,192,10,4.2,0.2
,Public,"1,790",19,37.2,0.4,"1,812",21,37.8,0.4,"1,762",19,36.9,0.4,"1,752",18,36.6,0.4,"1,694",17,35.5,0.4,"1,655",18,34.8,0.4,"1,642",17,34.6,0.4,"1,562",19,33.1,0.4,"1,528",20,32.5,0.4,"1,466",17,31.8,0.4,"1,401",16,30.6,0.4
,..Medicaid,946,19,19.7,0.4,983,20,20.5,0.4,962,18,20.1,0.4,962,18,20.1,0.4,934,17,19.6,0.4,912,18,19.2,0.4,924,17,19.5,0.4,866,18,18.3,0.4,856,19,18.2,0.4,817,17,17.7,0.4,756,17,16.5,0.4
,..Medicare,985,9,20.5,0.2,972,8,20.3,0.2,948,9,19.8,0.2,926,8,19.4,0.2,896,8,18.8,0.2,886,8,18.6,0.2,865,8,18.2,0.2,822,7,17.4,0.2,797,8,17.0,0.2,782,8,16.9,0.2,768,7,16.8,0.2
,..VA Care,138,6,2.9,0.1,142,6,3.0,0.1,137,5,2.9,0.1,137,6,2.9,0.1,126,6,2.6,0.1,125,6,2.6,0.1,128,5,2.7,0.1,131,6,2.8,0.1,117,5,2.5,0.1,119,6,2.6,0.1,125,6,2.7,0.1
ALASKA,Total,713,1,100.0,Z,716,2,100.0,Z,718,2,100.0,Z,713,2,100.0,Z,712,2,100.0,Z,712,2,100.0,Z,709,2,100.0,Z,699,2,100.0,Z,689,2,100.0,Z,678,3,100.0,Z,659,3,100.0,Z
,Any coverage,623,6,87.4,0.9,618,6,86.3,0.8,618,6,86.0,0.9,607,5,85.1,0.7,589,6,82.8,0.9,580,7,81.5,1.0,564,7,79.5,1.0,559,6,79.9,0.8,552,7,80.1,1.1,535,8,78.9,1.1,533,6,80.9,1.0
,Uninsured,90,6,12.6,0.9,98,6,13.7,0.8,101,6,14.0,0.9,106,5,14.9,0.7,122,6,17.2,0.9,132,7,18.5,1.0,145,7,20.5,1.0,141,6,20.1,0.8,137,7,19.9,1.1,143,7,21.1,1.1,126,7,19.1,1.0
,Private,460,10,64.5,1.4,453,9,63.2,1.3,483,9,67.3,1.2,478,10,67.0,1.3,467,8,65.6,1.1,464,9,65.2,1.3,446,9,62.9,1.3,440,10,62.9,1.4,446,10,64.8,1.4,438,8,64.5,1.2,447,8,67.8,1.2
,..Employer-based,381,11,53.5,1.6,368,10,51.4,1.4,395,9,55.0,1.2,390,11,54.6,1.5,377,9,53.0,1.3,398,11,55.9,1.5,380,10,53.6,1.4,367,11,52.5,1.5,375,10,54.5,1.4,367,9,54.1,1.3,374,9,56.9,1.3
,..Direct-purchase,53,4,7.4,0.6,55,5,7.6,0.7,56,5,7.8,0.7,64,5,9.0,0.7,53,5,7.4,0.7,46,5,6.5,0.7,53,5,7.5,0.7,44,4,6.3,0.6,45,4,6.5,0.6,51,5,7.5,0.7,57,5,8.7,0.7
,..TRICARE,70,7,9.8,0.9,70,6,9.8,0.9,71,6,9.8,0.9,72,5,10.1,0.8,72,6,10.1,0.9,57,4,7.9,0.6,65,6,9.2,0.8,62,6,8.9,0.8,67,7,9.6,1.0,63,5,9.3,0.8,64,6,9.7,1.0
,Public,247,8,34.6,1.1,248,8,34.7,1.1,211,6,29.4,0.9,205,7,28.7,1.0,191,7,26.8,1.0,183,6,25.8,0.8,182,7,25.6,0.9,177,8,25.3,1.1,163,6,23.6,0.9,154,7,22.8,1.1,145,7,22.0,1.0
,..Medicaid,157,8,22.0,1.1,163,9,22.7,1.2,131,6,18.3,0.9,130,7,18.2,0.9,119,7,16.7,1.0,112,6,15.8,0.8,114,7,16.0,0.9,115,7,16.5,1.0,106,6,15.4,0.9,98,7,14.5,1.0,93,6,14.1,0.9
,..Medicare,95,3,13.4,0.4,87,2,12.1,0.3,81,3,11.3,0.4,77,2,10.8,0.3,75,2,10.6,0.3,71,2,9.9,0.3,70,2,9.9,0.3,65,2,9.3,0.3,61,2,8.8,0.3,59,2,8.7,0.3,59,3,8.9,0.4
,..VA Care,33,3,4.6,0.4,31,3,4.4,0.4,28,3,3.9,0.4,26,3,3.7,0.4,28,3,3.9,0.4,24,2,3.4,0.3,25,2,3.5,0.3,20,3,2.9,0.4,20,2,2.9,0.3,20,3,3.0,0.4,21,2,3.2,0.4
ARIZONA,Total,"7,065",2,100.0,Z,"6,908",2,100.0,Z,"6,825",1,100.0,Z,"6,719",2,100.0,Z,"6,623",2,100.0,Z,"6,521",2,100.0,Z,"6,444",2,100.0,Z,"6,378",2,100.0,Z,"6,310",2,100.0,Z,"6,502",2,100.0,Z,"6,403",3,100.0,Z
,Any coverage,"6,315",24,89.4,0.3,"6,213",21,89.9,0.3,"6,143",21,90.0,0.3,"5,991",22,89.2,0.3,"5,720",18,86.4,0.3,"5,403",24,82.9,0.4,"5,313",27,82.4,0.4,"5,283",27,82.8,0.4,"5,245",22,83.1,0.3,"5,375",24,82.7,0.4,"5,249",24,82.0,0.4
,Uninsured,750,24,10.6,0.3,695,20,10.1,0.3,681,21,10.0,0.3,728,21,10.8,0.3,903,18,13.6,0.3,"1,118",24,17.1,0.4,"1,131",27,17.6,0.4,"1,095",27,17.2,0.4,"1,065",22,16.9,0.3,"1,127",24,17.3,0.4,"1,154",23,18.0,0.4
,Private,"4,421",36,62.6,0.5,"4,352",34,63.0,0.5,"4,246",29,62.2,0.4,"4,222",31,62.8,0.5,"4,050",30,61.2,0.4,"3,904",29,59.9,0.4,"3,822",34,59.3,0.5,"3,771",40,59.1,0.6,"3,811",32,60.4,0.5,"3,975",30,61.1,0.5,"4,036",34,63.0,0.5
,..Employer-based,"3,560",37,50.4,0.5,"3,460",36,50.1,0.5,"3,323",30,48.7,0.4,"3,288",33,48.9,0.5,"3,191",32,48.2,0.5,"3,135",29,48.1,0.5,"3,102",33,48.1,0.5,"3,076",42,48.2,0.6,"3,091",32,49.0,0.5,"3,240",30,49.8,0.5,"3,297",33,51.5,0.5
,..Direct-purchase,905,18,12.8,0.3,917,22,13.3,0.3,946,19,13.9,0.3,954,19,14.2,0.3,868,18,13.1,0.3,796,15,12.2,0.2,822,19,12.8,0.3,783,22,12.3,0.3,784,17,12.4,0.3,814,19,12.5,0.3,867,20,13.5,0.3
,..TRICARE,233,11,3.3,0.2,224,10,3.2,0.1,212,10,3.1,0.1,221,9,3.3,0.1,214,10,3.2,0.2,209,9,3.2,0.1,212,10,3.3,0.1,206,13,3.2,0.2,198,11,3.1,0.2,195,10,3.0,0.2,209,9,3.3,0.1
,Public,"2,776",29,39.3,0.4,"2,705",29,39.2,0.4,"2,711",30,39.7,0.4,"2,586",31,38.5,0.5,"2,427",30,36.6,0.5,"2,242",24,34.4,0.4,"2,199",23,34.1,0.4,"2,221",35,34.8,0.5,"2,158",28,34.2,0.4,"2,121",29,32.6,0.4,"1,963",30,30.7,0.5
,..Medicaid,"1,581",30,22.4,0.4,"1,554",29,22.5,0.4,"1,592",30,23.3,0.4,"1,492",32,22.2,0.5,"1,384",29,20.9,0.4,"1,242",25,19.0,0.4,"1,254",23,19.5,0.4,"1,317",33,20.6,0.5,"1,285",26,20.4,0.4,"1,277",29,19.6,0.4,"1,120",31,17.5,0.5
,..Medicare,"1,355",7,19.2,0.1,"1,292",8,18.7,0.1,"1,261",8,18.5,0.1,"1,223",9,18.2,0.1,"1,163",7,17.6,0.1,"1,111",8,17.0,0.1,"1,057",7,16.4,0.1,"1,012",9,15.9,0.1,973,7,15.4,0.1,948,8,14.6,0.1,946,7,14.8,0.1
,..VA Care,215,7,3.0,0.1,198,6,2.9,0.1,195,7,2.9,0.1,194,6,2.9,0.1,189,7,2.9,0.1,174,8,2.7,0.1,173,5,2.7,0.1,176,9,2.8,0.1,154,7,2.4,0.1,168,6,2.6,0.1,164,7,2.6,0.1
ARKANSAS,Total,"2,961",1,100.0,Z,"2,949",1,100.0,Z,"2,934",1,100.0,Z,"2,924",1,100.0,Z,"2,914",1,100.0,Z,"2,907",1,100.0,Z,"2,896",1,100.0,Z,"2,885",1,100.0,Z,"2,868",2,100.0,Z,"2,833",2,100.0,Z,"2,802",2,100.0,Z
,Any coverage,"2,717",10,91.8,0.3,"2,718",10,92.1,0.3,"2,702",12,92.1,0.4,"2,647",12,90.5,0.4,"2,571",13,88.2,0.4,"2,442",13,84.0,0.5,"2,420",11,83.6,0.4,"2,393",15,82.9,0.5,"2,367",15,82.5,0.5,"2,351",14,83.0,0.5,"2,322",14,82.9,0.5
,Uninsured,244,10,8.2,0.3,232,10,7.9,0.3,232,12,7.9,0.4,278,12,9.5,0.4,343,13,11.8,0.4,465,14,16.0,0.5,476,11,16.4,0.4,492,15,17.1,0.5,501,15,17.5,0.5,483,14,17.0,0.5,480,14,17.1,0.5
,Private,"1,787",20,60.4,0.7,"1,807",23,61.3,0.8,"1,820",20,62.0,0.7,"1,793",22,61.3,0.8,"1,761",20,60.4,0.7,"1,689",19,58.1,0.7,"1,699",16,58.7,0.5,"1,688",20,58.5,0.7,"1,686",19,58.8,0.7,"1,697",21,59.9,0.7,"1,697",22,60.6,0.8
,..Employer-based,"1,399",22,47.2,0.8,"1,377",20,46.7,0.7,"1,398",20,47.6,0.7,"1,365",21,46.7,0.7,"1,374",20,47.2,0.7,"1,343",18,46.2,0.6,"1,382",19,47.7,0.6,"1,355",19,47.0,0.7,"1,348",19,47.0,0.7,"1,354",22,47.8,0.8,"1,354",21,48.3,0.7
,..Direct-purchase,401,13,13.5,0.4,431,12,14.6,0.4,430,12,14.7,0.4,432,13,14.8,0.4,394,10,13.5,0.4,356,12,12.2,0.4,362,12,12.5,0.4,377,12,13.1,0.4,380,11,13.3,0.4,387,12,13.7,0.4,411,12,14.7,0.4
,..TRICARE,99,7,3.3,0.3,108,7,3.7,0.3,100,6,3.4,0.2,96,7,3.3,0.2,90,6,3.1,0.2,95,7,3.3,0.2,91,6,3.1,0.2,89,6,3.1,0.2,94,6,3.3,0.2,95,7,3.3,0.2,97,6,3.5,0.2
,Public,"1,307",17,44.2,0.6,"1,309",21,44.4,0.7,"1,269",15,43.2,0.5,"1,231",18,42.1,0.6,"1,171",16,40.2,0.5,"1,101",12,37.9,0.4,"1,055",14,36.4,0.5,"1,056",14,36.6,0.5,"1,031",13,36.0,0.4,"1,006",17,35.5,0.6,985,13,35.2,0.5
,..Medicaid,803,16,27.1,0.5,806,21,27.3,0.7,780,16,26.6,0.5,746,17,25.5,0.6,698,15,24.0,0.5,627,13,21.6,0.4,603,14,20.8,0.5,614,15,21.3,0.5,588,13,20.5,0.4,581,16,20.5,0.6,578,13,20.6,0.5
,..Medicare,606,9,20.5,0.3,602,8,20.4,0.3,580,6,19.8,0.2,578,6,19.8,0.2,553,6,19.0,0.2,555,7,19.1,0.2,533,6,18.4,0.2,526,6,18.2,0.2,513,6,17.9,0.2,498,6,17.6,0.2,489,6,17.5,0.2
,..VA Care,92,5,3.1,0.2,105,5,3.6,0.2,98,4,3.3,0.1,103,4,3.5,0.2,99,5,3.4,0.2,99,4,3.4,0.1,100,5,3.4,0.2,96,5,3.3,0.2,95,4,3.3,0.2,102,5,3.6,0.2,98,4,3.5,0.1
CALIFORNIA,Total,"39,062",6,100.0,Z,"39,047",5,100.0,Z,"38,764",5,100.0,Z,"38,650",5,100.0,Z,"38,297",5,100.0,Z,"37,832",5,100.0,Z,"37,524",6,100.0,Z,"37,162",5,100.0,Z,"36,816",5,100.0,Z,"36,377",6,100.0,Z,"36,160",7,100.0,Z
,Any coverage,"36,237",43,92.8,0.1,"36,250",35,92.8,0.1,"35,920",41,92.7,0.1,"35,332",34,91.4,0.1,"33,531",48,87.6,0.1,"31,331",58,82.8,0.2,"30,815",53,82.1,0.1,"30,436",56,81.9,0.1,"29,991",56,81.5,0.2,"29,818",56,82.0,0.2,"29,921",55,82.7,0.2
,Uninsured,"2,826",43,7.2,0.1,"2,797",34,7.2,0.1,"2,844",41,7.3,0.1,"3,317",34,8.6,0.1,"4,767",47,12.4,0.1,"6,500",57,17.2,0.2,"6,710",52,17.9,0.1,"6,726",55,18.1,0.1,"6,825",56,18.5,0.2,"6,559",57,18.0,0.2,"6,239",55,17.3,0.2
,Private,"24,897",81,63.7,0.2,"24,824",74,63.6,0.2,"24,428",79,63.0,0.2,"24,138",75,62.5,0.2,"23,665",75,61.8,0.2,"22,694",71,60.0,0.2,"22,507",78,60.0,0.2,"22,363",76,60.2,0.2,"22,327",80,60.6,0.2,"22,774",81,62.6,0.2,"23,361",66,64.6,0.2
,..Employer-based,"20,423",88,52.3,0.2,"20,288",83,52.0,0.2,"19,862",79,51.2,0.2,"19,552",78,50.6,0.2,"19,340",86,50.5,0.2,"18,809",76,49.7,0.2,"18,757",81,50.0,0.2,"18,554",75,49.9,0.2,"18,425",84,50.0,0.2,"18,812",90,51.7,0.2,"19,388",77,53.6,0.2
,..Direct-purchase,"4,932",44,12.6,0.1,"4,913",50,12.6,0.1,"4,927",47,12.7,0.1,"4,869",41,12.6,0.1,"4,556",39,11.9,0.1,"4,175",35,11.0,0.1,"4,219",44,11.2,0.1,"4,313",42,11.6,0.1,"4,411",49,12.0,0.1,"4,711",41,13.0,0.1,"5,018",57,13.9,0.2
,..TRICARE,717,22,1.8,0.1,679,16,1.7,Z,685,22,1.8,0.1,676,22,1.8,0.1,683,17,1.8,Z,662,21,1.8,0.1,678,18,1.8,Z,657,24,1.8,0.1,669,18,1.8,Z,626,18,1.7,Z,640,19,1.8,0.1
,Public,"14,995",75,38.4,0.2,"14,992",71,38.4,0.2,"15,077",72,38.9,0.2,"14,671",72,38.0,0.2,"13,123",69,34.3,0.2,"11,802",54,31.2,0.1,"11,427",58,30.5,0.2,"11,077",56,29.8,0.1,"10,701",64,29.1,0.2,"10,083",55,27.7,0.2,"9,746",63,27.0,0.2
,..Medicaid,"10,324",79,26.4,0.2,"10,383",73,26.6,0.2,"10,576",75,27.3,0.2,"10,272",72,26.6,0.2,"8,894",68,23.2,0.2,"7,678",54,20.3,0.1,"7,491",59,20.0,0.2,"7,320",58,19.7,0.2,"7,051",63,19.2,0.2,"6,534",55,18.0,0.2,"6,239",64,17.3,0.2
,..Medicare,"5,948",20,15.2,0.1,"5,887",26,15.1,0.1,"5,778",19,14.9,Z,"5,593",20,14.5,0.1,"5,370",20,14.0,0.1,"5,150",20,13.6,0.1,"4,958",17,13.2,Z,"4,733",23,12.7,0.1,"4,621",21,12.6,0.1,"4,466",18,12.3,0.1,"4,461",22,12.3,0.1
,..VA Care,615,12,1.6,Z,601,13,1.5,Z,609,13,1.6,Z,590,12,1.5,Z,575,12,1.5,Z,560,11,1.5,Z,557,11,1.5,Z,538,12,1.4,Z,509,12,1.4,Z,497,11,1.4,Z,507,11,1.4,Z
COLORADO,Total,"5,604",2,100.0,Z,"5,514",3,100.0,Z,"5,448",3,100.0,Z,"5,367",3,100.0,Z,"5,266",2,100.0,Z,"5,173",3,100.0,Z,"5,095",3,100.0,Z,"5,025",3,100.0,Z,"4,957",2,100.0,Z,"4,930",3,100.0,Z,"4,853",2,100.0,Z
,Any coverage,"5,182",17,92.5,0.3,"5,100",13,92.5,0.2,"5,038",15,92.5,0.3,"4,935",15,91.9,0.3,"4,723",16,89.7,0.3,"4,444",18,85.9,0.3,"4,344",20,85.3,0.4,"4,265",19,84.9,0.4,"4,168",22,84.1,0.5,"4,152",21,84.2,0.4,"4,042",21,83.3,0.4
,Uninsured,422,17,7.5,0.3,414,13,7.5,0.2,410,14,7.5,0.3,433,15,8.1,0.3,543,16,10.3,0.3,729,18,14.1,0.3,751,20,14.7,0.4,760,19,15.1,0.4,789,22,15.9,0.5,778,21,15.8,0.4,812,21,16.7,0.4
,Private,"3,964",26,70.7,0.5,"3,862",24,70.0,0.4,"3,823",23,70.2,0.4,"3,778",22,70.4,0.4,"3,672",24,69.7,0.5,"3,567",24,68.9,0.5,"3,499",25,68.7,0.5,"3,489",24,69.4,0.5,"3,458",27,69.8,0.5,"3,516",26,71.3,0.5,"3,517",23,72.5,0.5
,..Employer-based,"3,186",27,56.9,0.5,"3,054",27,55.4,0.5,"3,011",25,55.3,0.5,"2,949",24,54.9,0.4,"2,887",28,54.8,0.5,"2,811",27,54.3,0.5,"2,795",25,54.9,0.5,"2,786",31,55.4,0.6,"2,747",27,55.4,0.5,"2,825",26,57.3,0.5,"2,859",26,58.9,0.5
,..Direct-purchase,774,15,13.8,0.3,769,19,13.9,0.3,775,17,14.2,0.3,802,17,14.9,0.3,731,15,13.9,0.3,707,18,13.7,0.3,689,17,13.5,0.3,710,18,14.1,0.4,717,14,14.5,0.3,723,18,14.7,0.4,750,19,15.4,0.4
,..TRICARE,221,9,4.0,0.2,235,11,4.3,0.2,222,8,4.1,0.2,222,9,4.1,0.2,214,11,4.1,0.2,231,10,4.5,0.2,213,10,4.2,0.2,203,10,4.0,0.2,193,9,3.9,0.2,191,11,3.9,0.2,177,8,3.7,0.2
,Public,"1,832",24,32.7,0.4,"1,832",25,33.2,0.4,"1,786",20,32.8,0.4,"1,719",21,32.0,0.4,"1,592",19,30.2,0.4,"1,394",19,26.9,0.4,"1,341",22,26.3,0.4,"1,259",18,25.1,0.4,"1,180",21,23.8,0.4,"1,105",16,22.4,0.3,992,17,20.4,0.4
,..Medicaid,"1,045",23,18.6,0.4,"1,078",25,19.5,0.5,"1,056",20,19.4,0.4,"1,024",19,19.1,0.4,923,21,17.5,0.4,749,19,14.5,0.4,741,21,14.5,0.4,691,19,13.8,0.4,638,20,12.9,0.4,579,16,11.7,0.3,493,17,10.2,0.4
,..Medicare,859,7,15.3,0.1,830,7,15.1,0.1,804,6,14.8,0.1,769,6,14.3,0.1,732,6,13.9,0.1,706,6,13.6,0.1,665,6,13.0,0.1,632,6,12.6,0.1,603,7,12.2,0.1,580,6,11.8,0.1,556,7,11.5,0.1
,..VA Care,135,7,2.4,0.1,138,6,2.5,0.1,130,5,2.4,0.1,124,6,2.3,0.1,118,5,2.2,0.1,113,6,2.2,0.1,103,4,2.0,0.1,106,5,2.1,0.1,93,5,1.9,0.1,93,5,1.9,0.1,87,5,1.8,0.1
CONNECTICUT,Total,"3,524",1,100.0,Z,"3,537",1,100.0,Z,"3,525",1,100.0,Z,"3,538",1,100.0,Z,"3,541",1,100.0,Z,"3,541",1,100.0,Z,"3,535",1,100.0,Z,"3,523",1,100.0,Z,"3,520",1,100.0,Z,"3,457",1,100.0,Z,"3,441",1,100.0,Z
,Any coverage,"3,337",11,94.7,0.3,"3,343",12,94.5,0.3,"3,353",11,95.1,0.3,"3,327",13,94.0,0.4,"3,296",11,93.1,0.3,"3,209",14,90.6,0.4,"3,213",11,90.9,0.3,"3,214",11,91.2,0.3,"3,200",11,90.9,0.3,"3,152",13,91.2,0.4,"3,138",14,91.2,0.4
,Uninsured,187,11,5.3,0.3,194,12,5.5,0.3,172,11,4.9,0.3,211,13,6.0,0.4,245,11,6.9,0.3,333,14,9.4,0.4,322,11,9.1,0.3,309,11,8.8,0.3,320,11,9.1,0.3,305,13,8.8,0.4,302,14,8.8,0.4
,Private,"2,502",22,71.0,0.6,"2,524",21,71.4,0.6,"2,536",19,71.9,0.5,"2,545",18,71.9,0.5,"2,522",18,71.2,0.5,"2,504",23,70.7,0.6,"2,543",20,72.0,0.6,"2,574",17,73.1,0.5,"2,606",20,74.0,0.6,"2,633",18,76.2,0.5,"2,697",21,78.4,0.6
,..Employer-based,"2,125",23,60.3,0.6,"2,124",20,60.1,0.6,"2,129",21,60.4,0.6,"2,148",19,60.7,0.5,"2,142",21,60.5,0.6,"2,161",24,61.0,0.7,"2,222",20,62.9,0.6,"2,243",21,63.7,0.6,"2,271",19,64.5,0.5,"2,297",20,66.4,0.6,"2,374",23,69.0,0.7
,..Direct-purchase,450,13,12.8,0.4,470,11,13.3,0.3,464,11,13.2,0.3,455,10,12.9,0.3,435,12,12.3,0.3,410,12,11.6,0.3,430,12,12.2,0.3,440,11,12.5,0.3,457,13,13.0,0.4,469,14,13.6,0.4,500,15,14.5,0.4
