Code,Item,Group,Region_Number,Region_Name,State_Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average_Annual_Percent_Growth
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,1944,2367,2759,2535,2311,2518,2365,2593,2909,3419,3783,4066,3984,4759,5246,4766,5183,5914,5809,5888,5760,7112,7183,8868,6.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Iowa,893,965,1064,1145,1208,1289,1205,1323,1331,1572,1584,1850,2062,2200,2311,2476,2489,2730,2885,2991,3220,3470,3517,4059,6.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Kansas,654,764,866,912,902,944,1030,1081,1143,1401,1461,1656,1541,1808,1952,2018,2072,2150,2299,2244,2494,2446,2364,2372,5.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Kentucky,1191,1540,1690,1793,1886,2047,2355,2451,2591,3075,3264,3573,3511,4160,4024,4063,4403,4472,5192,5236,5229,5102,5176,7425,8.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Louisiana,1992,2338,3073,3317,3080,2674,2790,2625,2685,2821,3430,3406,3896,4473,4940,4886,5332,5773,6248,6487,6334,6629,7042,7082,5.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Maine,521,632,750,801,822,893,977,1117,1142,1199,1321,1499,1787,1980,2033,2017,2013,2128,2445,1986,2284,2315,2506,2362,6.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,1516,1738,1875,2074,2196,2305,2387,2452,2814,2853,3136,3449,4247,4538,4823,4795,5043,5269,6076,6649,6901,6990,7269,8771,7.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,3463,3747,3724,4418,4963,4800,5336,5788,6170,6518,7114,7970,7984,8397,9310,8783,9794,10237,11072,11462,11604,12402,12608,13758,6.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Michigan,3066,3327,3849,4220,4587,4921,5922,4826,6239,5605,6514,6094,6923,7203,7518,7577,8535,8978,9386,10506,10675,11000,11536,12481,6.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Minnesota,1857,1973,2197,2414,2592,2668,2657,2806,2987,3297,3792,4436,4630,5148,5306,5369,5917,6208,6792,7252,7672,8131,8715,9665,7.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Mississippi,818,924,1055,1206,1364,1500,1520,1594,1697,1949,2473,2702,2804,3423,3143,3157,3392,3430,3638,4110,4181,4254,4410,4569,7.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Missouri,1225,1885,1973,2267,2451,2628,2807,3056,3358,3947,4308,4791,5310,5940,6309,6065,6389,6758,7411,7590,7793,8408,8519,8566,8.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Montana,249,274,316,332,343,371,365,409,350,481,532,494,542,635,686,691,704,769,846,986,820,954,996,1061,6.5
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Nebraska,409,479,556,592,616,692,739,927,969,1028,1214,1283,1320,1365,1451,1418,1496,1504,1607,1627,1574,1716,1665,1700,6.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,Nevada,232,309,349,365,408,425,415,480,494,557,655,800,883,1049,1103,1110,1175,1236,1315,1389,1421,1733,1632,2348,10.6
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,New Hampshire,283,372,442,510,583,596,635,730,736,814,832,911,952,1155,1130,1091,1181,1217,1321,1296,1124,1143,1194,1319,6.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,New Jersey,2961,3285,3743,4130,4474,4697,4943,4911,5100,5407,5583,6206,6791,7167,8401,8720,8396,8902,9186,9402,9821,9479,9572,11934,6.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,6,Southwest,New Mexico,426,503,583,658,743,883,912,977,1036,1191,1409,1695,1916,2059,2147,2220,2524,2775,2917,3097,2956,3001,3039,3822,10
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,New York,15985,17651,19472,20863,22349,23936,23727,25903,27495,29393,30987,35180,38425,40265,40964,42204,43228,44576,47480,48064,50720,49305,49477,51821,5.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,North Carolina,1967,2300,2690,2987,3602,3970,4217,4375,4694,5336,6265,6513,6863,8028,8766,8767,8874,9876,10943,10041,10630,10919,11184,11911,8.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,North Dakota,252,263,281,292,308,331,312,330,331,385,374,439,439,479,499,480,492,519,584,675,688,739,778,939,5.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Ohio,4079,4650,5024,5336,5659,5815,6012,6184,6433,7381,8293,9226,10318,11121,11750,11436,11792,12032,13363,13939,14393,14575,15897,17935,6.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,6,Southwest,Oklahoma,906,1041,1071,1017,1069,1119,1174,1298,1449,1624,2051,2223,2276,2443,2686,2909,3215,3491,3782,3928,4031,4569,4622,4799,7.5
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,Oregon,734,838,978,1142,1363,1443,1434,1640,1904,2037,2315,2495,2350,2561,2673,2576,2698,2987,3453,3698,3992,4137,4716,6929,10.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Pennsylvania,3629,4817,4955,5675,6173,6948,7871,7707,8977,10065,10532,11291,12002,13068,14876,13729,14482,15020,15732,17366,18183,18355,19111,20221,7.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Rhode Island,540,724,736,734,786,748,926,931,1019,1017,1270,1339,1355,1614,1650,1648,1569,1712,1780,1864,1897,1758,1802,2261,6.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,South Carolina,1238,1447,1615,1738,1808,1819,1798,1986,2180,2497,2905,3167,3190,3810,3994,3868,3890,4322,4790,4856,4466,4488,4579,5061,6.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,South Dakota,259,241,267,288,302,316,325,348,367,418,430,538,516,564,576,581,604,643,699,742,696,720,752,763,4.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Tennessee,1545,2003,2181,2538,2967,3012,3293,3544,3902,4458,5078,5394,5942,6589,6596,5509,6359,6469,6471,7397,7107,7670,7999,7655,7.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,6,Southwest,Texas,4718,5788,6759,7578,8009,8598,8671,8774,9297,9844,10784,12504,13814,15220,17107,16991,18903,20022,22884,25227,26478,25487,27026,30080,8.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Utah,412,441,494,520,556,608,609,679,730,782,839,956,1091,1208,1361,1395,1346,1425,1584,1601,1727,1830,1970,1920,6.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Vermont,206,221,235,264,295,318,348,387,446,512,583,643,702,774,857,892,990,969,1068,1113,1126,1222,1366,1390,8.6
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Virginia,1371,1465,1682,1773,1897,2013,2150,2218,2379,2736,3301,3157,3495,3741,4162,4321,4604,5048,5481,5997,6364,6373,6865,6834,7.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,Washington,1658,1907,2169,2328,2536,2795,2939,3109,3404,3741,4182,4470,4824,4954,5282,5125,5463,5837,5977,6538,6715,7112,7297,9005,7.6
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,West Virginia,655,881,1071,1115,1133,1157,1220,1343,1284,1369,1472,1572,1823,1978,2014,2045,2071,2110,2328,2422,2503,2724,2814,3249,7.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Wisconsin,1784,1958,2065,2165,2243,2376,2553,2664,2803,3312,3894,4339,4235,4268,4600,4352,4563,4699,6719,6229,6085,6512,6866,7329,6.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Wyoming,94,117,136,154,165,189,193,196,199,217,246,283,329,374,394,424,435,478,510,508,513,535,547,534,7.8
2,Medicaid/Hospital Care (Millions of Dollars),United States,0,United States,,36545,43940,49458,53671,56800,58871,59597,61674,66778,70906,77323,84376,90225,96750,103754,108828,117188,122673,133437,141756,143861,149807,155712,169103,6.9
2,Medicaid/Hospital Care (Millions of Dollars),Region,1,New England,,2073,2430,2553,2984,3292,3380,4024,4095,4181,4179,4541,5090,4994,5779,6458,6241,6630,7122,7836,7579,7847,8835,8386,9245,6.7
2,Medicaid/Hospital Care (Millions of Dollars),Region,2,Mideast,,10844,12725,13212,14502,15283,15640,14925,15827,16855,17499,17828,20647,21972,22830,24041,26482,27424,27717,29341,30446,31946,31647,31941,33884,5.1
2,Medicaid/Hospital Care (Millions of Dollars),Region,3,Great Lakes,,5335,6591,7878,8131,8473,8945,9433,8672,10350,11157,11207,11677,12648,13242,14492,14985,17688,18088,21283,21657,19394,19999,21858,22886,6.5
2,Medicaid/Hospital Care (Millions of Dollars),Region,4,Plains,,1867,2500,2729,2888,2984,3130,3221,3528,3752,4342,4677,5472,5332,5863,6263,7133,7592,7916,8651,9013,9187,9987,9855,10363,7.7
2,Medicaid/Hospital Care (Millions of Dollars),Region,5,Southeast,,6962,8375,9942,10997,11529,11539,12057,12481,12807,14918,17262,18625,19092,21449,22231,23712,25151,25951,27931,31531,31893,32483,34096,36591,7.5
2,Medicaid/Hospital Care (Millions of Dollars),Region,6,Southwest,,2927,4148,4742,5219,5327,5512,5295,5542,5808,6040,6816,7846,8476,9513,11037,11452,13212,13915,15677,16794,16744,16958,17375,19428,8.6
2,Medicaid/Hospital Care (Millions of Dollars),Region,7,Rocky Mountains,,669,843,943,1022,1079,1072,1063,1178,1168,1312,1387,1535,1648,1912,1966,2192,2215,2399,2690,3370,3411,3911,4067,4332,8.5
2,Medicaid/Hospital Care (Millions of Dollars),Region,8,Far West,,5868,6328,7460,7928,8833,9652,9578,10351,11858,11459,13605,13484,16061,16163,17267,16631,17276,19565,20028,21367,23439,25987,28135,32373,7.7
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Alabama,261,429,486,533,595,623,419,566,599,792,711,778,875,946,1138,1046,897,1089,1246,2140,1687,2101,1959,2115,9.5
2,Medicaid/Hospital Care (Millions of Dollars),State,8,Far West,Alaska,74,91,128,107,110,132,129,129,132,177,213,251,332,283,283,333,327,316,367,366,386,400,363,372,7.3
2,Medicaid/Hospital Care (Millions of Dollars),State,6,Southwest,Arizona,608,850,854,951,937,938,944,981,1119,1107,1422,1729,1982,2249,2457,2611,2763,2952,3263,3251,3148,3161,3311,3495,7.9
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Arkansas,343,376,408,391,396,409,429,439,450,487,643,810,753,822,820,848,1003,973,1038,1311,1261,1304,1334,1565,6.8
2,Medicaid/Hospital Care (Millions of Dollars),State,8,Far West,California,4880,5176,6100,6369,6951,7704,7519,8130,9595,9054,10804,10453,12850,12559,13412,12771,13159,15217,15533,16557,18160,20237,22734,24761,7.3
2,Medicaid/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,290,427,473,543,596,548,547,599,633,703,729,800,816,877,912,968,1014,1101,1202,1669,1780,1976,2119,2460,9.7
2,Medicaid/Hospital Care (Millions of Dollars),State,1,New England,Connecticut,477,456,526,667,785,880,967,837,791,780,766,844,862,946,942,1024,1084,1191,1283,1330,1582,2274,2103,2236,6.9
2,Medicaid/Hospital Care (Millions of Dollars),State,2,Mideast,Delaware,77,83,91,98,112,125,97,124,111,130,141,155,187,215,259,302,323,320,334,378,424,523,491,549,8.9
2,Medicaid/Hospital Care (Millions of Dollars),State,2,Mideast,District of Columbia,272,284,345,396,367,386,440,482,423,447,418,448,477,483,565,542,596,556,588,599,652,677,727,681,4.1
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Florida,1388,1631,1865,1936,2046,2022,1955,2115,2098,2337,2546,3037,3403,4091,4123,4624,4893,5418,5746,6796,6833,6817,6999,7833,7.8
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Georgia,836,874,1064,1241,1295,1387,1352,1438,1476,2017,2793,3162,3399,2916,3035,2790,3217,3102,2965,3188,3547,3356,3755,3730,6.7
2,Medicaid/Hospital Care (Millions of Dollars),State,8,Far West,Hawaii,104,110,149,210,307,263,288,244,256,251,245,284,284,347,373,372,407,389,389,487,568,406,511,614,8
2,Medicaid/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,78,82,87,91,97,117,113,129,140,157,182,199,210,257,230,250,286,305,341,408,414,548,571,530,8.7
2,Medicaid/Hospital Care (Millions of Dollars),State,3,Great Lakes,Illinois,1119,1767,2343,2516,2691,3021,3069,3027,3019,3486,3409,3628,4137,4257,4823,4826,6108,5913,7369,7753,5995,5772,7575,7121,8.4
2,Medicaid/Hospital Care (Millions of Dollars),State,3,Great Lakes,Indiana,685,824,1114,890,804,955,914,1049,1203,1492,1536,1423,1330,1634,1435,1632,1981,2387,2007,1849,1630,2591,2164,3113,6.8
2,Medicaid/Hospital Care (Millions of Dollars),State,4,Plains,Iowa,296,333,391,415,421,451,418,491,484,606,598,785,690,691,690,863,854,924,933,988,1103,1244,1177,1409,7
2,Medicaid/Hospital Care (Millions of Dollars),State,4,Plains,Kansas,223,296,337,326,297,288,304,291,307,412,421,479,390,486,548,665,697,762,799,814,954,945,796,708,5.2
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Kentucky,395,582,637,712,790,860,951,1038,1025,1240,1175,1303,1219,1595,1378,1536,1665,1617,2101,1946,1990,1617,1474,2629,8.6
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Louisiana,819,970,1472,1676,1455,1071,1351,1150,1119,1132,1617,1570,1497,1771,2047,2235,2349,2333,2582,2624,2643,2658,3211,2957,5.7
2,Medicaid/Hospital Care (Millions of Dollars),State,1,New England,Maine,133,197,269,301,283,290,349,379,290,282,299,295,404,488,567,513,556,573,894,541,780,732,924,715,7.6
2,Medicaid/Hospital Care (Millions of Dollars),State,2,Mideast,Maryland,736,832,988,1080,1081,1076,1063,1127,1268,1167,1293,1418,1646,1779,1848,1902,2051,2139,2387,2703,2704,2724,2834,3753,7.3
2,Medicaid/Hospital Care (Millions of Dollars),State,1,New England,Massachusetts,1146,1314,1315,1504,1667,1739,2122,2294,2481,2496,2675,3115,2856,3278,3845,3426,3774,4005,4193,4211,4109,4541,4019,4537,6.2
2,Medicaid/Hospital Care (Millions of Dollars),State,3,Great Lakes,Michigan,1214,1414,1607,1743,1941,1956,2397,1633,3242,2891,2676,2670,2898,2888,3278,3334,3932,4070,4469,4832,4638,4635,4556,4954,6.3
2,Medicaid/Hospital Care (Millions of Dollars),State,4,Plains,Minnesota,567,591,619,617,654,673,679,708,723,803,920,1204,1023,1260,1230,1435,1683,1739,1998,2271,2298,2546,2703,3053,7.6
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Mississippi,373,385,463,544,650,739,751,760,736,783,986,1129,1135,1400,1204,1411,1561,1517,1574,2008,2009,2071,2258,2313,8.3
2,Medicaid/Hospital Care (Millions of Dollars),State,4,Plains,Missouri,457,951,980,1106,1169,1228,1325,1460,1663,1908,2085,2231,2465,2644,2986,3318,3463,3582,3917,3872,3851,4175,4101,4004,9.9
2,Medicaid/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Montana,109,117,138,142,138,145,147,187,139,179,180,171,185,240,260,288,294,308,339,439,285,375,392,413,6
2,Medicaid/Hospital Care (Millions of Dollars),State,4,Plains,Nebraska,130,166,219,233,235,264,262,333,341,336,383,415,423,421,456,475,506,499,539,563,515,561,533,558,6.5
2,Medicaid/Hospital Care (Millions of Dollars),State,8,Far West,Nevada,109,136,150,174,202,209,204,217,215,231,275,314,382,439,449,464,502,500,525,523,536,803,674,928,9.8
2,Medicaid/Hospital Care (Millions of Dollars),State,1,New England,New Hampshire,70,132,160,178,206,168,141,172,188,214,227,261,309,365,354,347,408,398,425,420,250,261,280,313,6.7
2,Medicaid/Hospital Care (Millions of Dollars),State,2,Mideast,New Jersey,1218,1462,1667,1840,1988,1995,2033,2020,2089,2143,2298,2503,2722,2656,2985,3413,3449,3462,3390,3457,3557,3838,3773,4661,6
2,Medicaid/Hospital Care (Millions of Dollars),State,6,Southwest,New Mexico,167,191,223,253,278,324,331,405,408,545,643,761,797,941,1014,1101,1350,1505,1541,1622,1496,1381,1289,1934,11.2
2,Medicaid/Hospital Care (Millions of Dollars),State,2,Mideast,New York,7391,8148,8236,8951,9483,9560,8506,9568,10130,10679,10753,12876,13798,14257,14384,15894,15915,16169,17173,17397,17851,17503,17445,17436,3.8
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,North Carolina,696,823,950,1030,1319,1434,1508,1499,1605,1811,2114,2065,2005,2462,2622,2985,2899,3094,3476,3304,3976,4266,4556,4946,8.9
2,Medicaid/Hospital Care (Millions of Dollars),State,4,Plains,North Dakota,80,87,98,103,118,130,129,131,120,146,135,161,160,162,163,177,175,189,216,230,226,264,277,365,6.8
2,Medicaid/Hospital Care (Millions of Dollars),State,3,Great Lakes,Ohio,1824,2082,2278,2399,2429,2388,2410,2346,2274,2569,2764,3038,3333,3496,3956,4128,4533,4548,5070,5146,5196,4955,5479,5608,5
2,Medicaid/Hospital Care (Millions of Dollars),State,6,Southwest,Oklahoma,350,429,414,379,389,411,418,439,495,624,790,812,826,757,800,999,1161,1241,1334,1449,1472,1922,1839,1952,7.8
2,Medicaid/Hospital Care (Millions of Dollars),State,8,Far West,Oregon,190,228,263,319,449,471,533,676,695,706,768,850,762,887,937,908,965,1117,1148,1193,1336,1637,1596,2736,12.3
2,Medicaid/Hospital Care (Millions of Dollars),State,2,Mideast,Pennsylvania,1150,1915,1886,2138,2252,2500,2787,2506,2835,2933,2925,3246,3141,3440,4000,4429,5090,5072,5469,5911,6757,6383,6672,6803,8
2,Medicaid/Hospital Care (Millions of Dollars),State,1,New England,Rhode Island,190,275,225,264,277,230,372,325,338,297,455,441,421,545,546,620,481,644,715,742,788,670,652,1035,7.6
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,South Carolina,537,651,716,728,707,638,609,691,720,865,932,1071,889,1309,1498,1598,1550,1750,2142,2056,1841,1759,1827,1972,5.8
2,Medicaid/Hospital Care (Millions of Dollars),State,4,Plains,South Dakota,113,76,86,89,91,96,105,113,114,131,135,196,181,198,190,199,214,222,247,273,238,252,267,266,3.8
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Tennessee,538,839,913,1149,1199,1246,1505,1504,1706,2055,2180,2094,2094,2166,2241,2102,2442,2569,2456,3247,3034,3347,3447,3197,8.1
2,Medicaid/Hospital Care (Millions of Dollars),State,6,Southwest,Texas,1802,2679,3251,3636,3723,3839,3602,3717,3787,3763,3960,4545,4873,5565,6766,6741,7938,8217,9540,10472,10628,10494,10936,12047,8.6
2,Medicaid/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Utah,152,168,190,198,201,214,215,218,207,221,224,298,352,426,440,549,480,526,632,682,766,844,805,754,7.2
2,Medicaid/Hospital Care (Millions of Dollars),State,1,New England,Vermont,56,56,60,68,73,73,73,88,93,108,118,134,142,157,205,309,327,311,327,335,339,356,409,409,9
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,Virginia,507,506,620,660,708,722,784,805,828,944,1081,1110,1245,1332,1524,1868,1994,1830,1855,2098,2264,2235,2283,2178,6.5
2,Medicaid/Hospital Care (Millions of Dollars),State,8,Far West,Washington,511,588,670,749,814,873,905,955,965,1041,1301,1332,1450,1649,1813,1784,1916,2025,2066,2241,2453,2504,2256,2962,7.9
2,Medicaid/Hospital Care (Millions of Dollars),State,5,Southeast,West Virginia,269,309,349,396,369,389,443,477,444,456,484,495,578,639,600,668,684,659,749,814,808,955,994,1156,6.6
2,Medicaid/Hospital Care (Millions of Dollars),State,3,Great Lakes,Wisconsin,493,504,536,584,608,625,642,618,613,718,822,919,950,966,1000,1066,1135,1170,2367,2078,1936,2046,2084,2090,6.5
2,Medicaid/Hospital Care (Millions of Dollars),State,7,Rocky Mountains,Wyoming,40,49,54,47,46,48,41,45,48,52,72,65,86,112,124,136,141,159,175,171,165,168,180,175,6.6
3,Medicaid/Physician & Clinical Services (Millions of Dollars),United States,0,United States,,9113,11152,12683,13695,14788,15241,16309,16766,17477,19294,21431,24022,25185,27986,30072,31778,33524,35912,40164,43258,45184,46972,52012,63600,8.8
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,1,New England,,472,554,574,637,712,712,822,940,1043,1134,1256,1340,1397,1437,1449,1704,1806,1953,2136,2381,2643,2723,2909,3411,9
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,2,Mideast,,1489,1807,2114,2308,2600,2797,2839,2882,3172,3486,3608,3864,4195,4647,5060,5460,5424,5644,6534,6991,7159,7858,8966,11223,9.2
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,3,Great Lakes,,1337,1704,1906,2053,2102,2158,2279,2181,2010,2237,2292,2749,2819,3236,3834,4052,4486,4951,5449,5863,6296,6232,6985,8909,8.6
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,4,Plains,,474,550,610,610,627,620,621,650,714,792,916,1090,1184,1408,1551,1637,1764,1881,2195,2154,2367,2604,2833,3123,8.5
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,5,Southeast,,2649,3368,3838,4087,4389,4281,4565,4925,5005,5562,6402,7146,7600,8796,9091,9060,9316,10220,11085,11411,11523,12252,13082,15319,7.9
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,6,Southwest,,901,1001,1152,1298,1391,1459,1400,1443,1564,1589,1901,2141,2488,3091,3350,3573,3914,4248,4955,5248,5652,5694,6082,6801,9.2
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,7,Rocky Mountains,,252,306,334,354,410,457,469,502,552,616,675,736,832,904,999,1041,1030,1049,1193,1150,1217,1219,1497,1819,9
3,Medicaid/Physician & Clinical Services (Millions of Dollars),Region,8,Far West,,1539,1863,2155,2348,2556,2757,3313,3241,3419,3879,4382,4955,4670,4468,4738,5250,5785,5966,6617,8060,8326,8389,9657,12995,9.7
