id,name,telephone,address,city,state,zip,county,emergtitle,emergtel,emergext,naics_code,naics_desc,long,lat,st_vendor,st_version,geoprec,phoneloc,qc_qa,ucaoa_id,overall_type
10993590,Baptist Medical Plaza At Country Walk,786-596-4300,"13500 Southwest 152nd Street,  ",Miami,FL,33177,Miami-Dade,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.4118191,25.625866,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10195536,Coastal Primary Care,772-465-3225,"4995 South United States Highway 1,  ",Fort Pierce,FL,34982,St Lucie,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.3275317,27.37553,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_1095,urgent care
10844305,Camden Urgent Care Wellness Center,912-576-9332,"1375 East King Avenue,  ",Kingsland,GA,31548,Camden,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.6497945,30.7884474,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10844271,Coastal Primary Care,772-489-6011,"2215 Nebraska Avenue,  ",Fort Pierce,FL,34950,St Lucie,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.3448274,27.4324389,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10470639,Capital Urgent Care,919-878-3655,"3509 Capital Boulevard, Suite 101",Raleigh,NC,27604,Wake,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-78.5862555,35.8279302,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10470910,East Meadow Walk-In Clinic,516-505-1010,"1620 Front Street,  ",East Meadow,NY,11554,Nassau,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.5713853,40.7149015,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10424647,Presbyterian Urgent Care - Blakeney,704-316-2505,"5815 Blakeney Park Drive,  ",Charlotte,NC,28277,Mecklenburg,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.8074449,35.0331089,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,urgent care
10198802,Med Surge Clinic,256-353-2000,"2828 State Highway 31,  ",Decatur,AL,35603,Morgan,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-86.9730856,34.5539079,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,urgent care
10198807,Graham Medical Center - Walk-In Clinic,256-464-9085,"2903 Wall Triana Highway,  ",Huntsville,AL,35824,Madison,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-86.7579557,34.6483544,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,urgent care
10198811,Primecare Of Dothan,334-793-2120,"301 Westgate Parkway,  ",Dothan,AL,36303,Houston,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-85.4350636,31.2327415,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,urgent care
11527264,White Oak Urgent Care,336-495-1001,"608 West Academy Street,  ",Randleman,NC,27317,Randolph,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-79.8162234,35.8206348,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10844316,Peachtree Immediate Care,770-461-3776,"1275 State Highway 54 West, Suite 200",Fayetteville,GA,30214,Fayette,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.5089424,33.4514074,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11521796,Bedford Family Urgent Care,540-587-8612,"1368 American Way,  ",Bedford,VA,24523,Bedford City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-79.5021778,37.326305,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10843384,Medical Care Consortium Incorporated - Eighth Street,305-644-3100,"3099 Southwest 8th Street,  ",Miami,FL,33135,Miami-Dade,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.2446299,25.7652112,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11241395,Redi-Med,239-566-1226,"4550 Executive Drive,  ",Naples,FL,34119,Collier,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.7304477,26.273493,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10198812,First Med Of Dothan,334-793-9595,"1245 Westgate Parkway,  ",Dothan,AL,36303,Houston,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-85.4357677,31.2533731,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,urgent care
10198813,River Oaks Family Medicine And Urgent Care,256-353-6874,"1813 Beltline Road South West,  ",Decatur,AL,35601,Morgan,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-87.0150821,34.5717884,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,urgent care
10198876,Horizons Medical Care Pc,256-837-2271,"8045 United States Highway 72 West,  ",Madison,AL,35758,Madison,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-86.7503236,34.7516431,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,urgent care
10421186,Doctors Care,631-348-4900,"1 Kings Highway,  ",Hauppauge,NY,11788,Suffolk,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.2185432,40.815788,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2747,urgent care
10844278,Emerald Coast Urgent Care - Destin Clinic,850-654-8878,"12598 Emerald Coast Parkway,  ",Destin,FL,32550,Walton,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-86.3821206,30.3859114,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10422612,Medexpress Urgent Care - Boynton Beach,561-572-3200,"7593 Boynton Beach Boulevard, Suite 190",Boynton Beach,FL,33437,Palm Beach,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.1654954,26.5290656,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10467902,Cullman Primary Care Urgent Care Center,256-736-2856,"1406 Wall Street Northeast,  ",Cullman,AL,35055,Cullman,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-86.826761,34.2019483,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
11531415,Christie Clinic At County Market - Glenn Park Drive,217-366-8130,"1914 Glenn Park Drive,  ",Champaign,IL,61821,Champaign,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-88.2793469,40.1199438,NAVTEQ,2008Q1,ONENTITY,NO,TGS, ,urgent care
10844389,Your Docs In - Ocean City Clinic,410-520-0582,"103 120th Street,  ",Ocean City,MD,21842,Worcester,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-75.0572522,38.4250619,NAVTEQ,2008Q1,ONENTITY,NO,TGS, ,urgent care
10844383,Mycare Express,410-549-7222,"1311 Londontown Boulevard,  ",Sykesville,MD,21784,Carroll,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-76.9495162,39.4080217,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10840880,Emerald Coast Urgent Care - Panama City Beach Clinic,850-236-8655,"11111 Panama City Beach Parkway,  ",Panama City Beach,FL,32407,Bay,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-85.8108991,30.1949099,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10192474,Naples Urgent Care,239-597-8000,"1713 Southwest Health Parkway,  ",Naples,FL,34109,Collier,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.7856216,26.2718098,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_0973,urgent care
10844378,Urgent Care At Sylvania,240-313-3100,"13424 Pennsylvania Avenue, Suite 104",Hagerstown,MD,21742,Washington,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.721149,39.6833348,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10844070,Concentra Urgent Care - Reading,610-921-5811,"4201 Pottsville Pike,  ",Reading,PA,19605,Berks,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-75.9351949,40.3997056,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10468024,Long Island Family Medical Group - Miller Place,631-821-0505,"765 State Route 25a,  ",Miller Place,NY,11764,Suffolk,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-72.9737778,40.943827,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10470823,Nassau Immediate Medical Care,516-294-3535,"465 Willis Avenue,  ",Williston Park,NY,11596,Nassau,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.6455558,40.7564877,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10470809,Unifour Urgent Care,828-267-0551,"1105 Fairgrove Church Road Southeast,  ",Conover,NC,28613,Catawba,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.264467,35.7126877,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
11524590,Emergicare - Harrisonburg,540-432-9996,"755 Cantrell Avenue, Suite A",Harrisonburg,VA,22801,Harrisonburg City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-78.8580237,38.4400755,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10421256,Max Luther Medical Center,256-859-6340,"2005 Max Luther Drive Northwest,  ",Huntsville,AL,35810,Madison,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-86.5947489,34.7577943,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_0032,urgent care
11241572,Halifax Med,434-572-9355,"1627 Seymour Drive,  ",South Boston,VA,24592,South Boston City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-78.8928263,36.6965294,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10194292,Primary And Urgent Care,540-288-9888,"1075 Garrisonville Road,  ",Stafford,VA,22556,Stafford,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.469689,38.4742914,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3683,urgent care
11521790,Decatur Memorial Hospital Express Care - Corporate Center,217-876-4940,"2120 North 27th Street,  ",Decatur,IL,62526,Macon,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-88.916214,39.8659973,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10193608,Priority Care,706-226-8148,"1000 Riverburch Parkway,  ",Dalton,GA,30721,Whitfield,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.9447357,34.8007432,TGS,2008Q1,ONENTITY,YES,TGS,UC_1248,urgent care
11518993,Duke Medical Plaza - Knightdale,919-332-5205,"162 Legacy Oaks Drive,  ",Knightdale,NC,27545,Wake,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-78.520171,35.7992313,TGS,2008Q1,BLOCKFACE,YES,TGS, ,urgent care
10470225,Lifetime Family Urgent Care,813-991-4991,"581 Argerian Drive, Suite 103",Wesley Chapel,FL,33544,Pasco,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-82.3270233,28.2411115,TGS,2008Q1,BLOCKFACE,YES,TGS, ,urgent care
10194083,Hillsboro Urgent Care,937-840-9900,"160 Roberts Lane, Suite A",Hillsboro,OH,45133,Highland,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-83.6175625,39.2244787,TGS,2008Q1,ONENTITY,YES,TGS,UC_2934,urgent care
11524591,Emergency Usa,703-257-1996,"8694 Centreville Road,  ",Manassas,VA,20110,Manassas City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.4577469,38.7655542,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10192482,Aaa Urgent Care 24 Hour,703-354-6665,"4600 King Street, Suite 4n",Alexandria,VA,22302,Alexandria City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.1074242,38.8408072,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_3752,urgent care
11513085,First Assist Urgent Care Of Gray,423-467-4802,"203 Gray Commons Circle,  ",Gray,TN,37615,Washington,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-82.4886735,36.3989179,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11513070,First Assist Urgent Care Of Kingsport,423-246-7259,"1101 East Stone Drive,  ",Kingsport,TN,37660,Sullivan,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-82.530653,36.5517084,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10192962,Gordon Urgent Care - Adairsville,770-769-9555,"7435 State Highway 140,  ",Adairsville,GA,30103,Bartow,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.9307184,34.3783523,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_1313,urgent care
11521797,Ladysmith Urgent Care,804-448-4885,"17428 Center Drive, Suite E",Ruther Glen,VA,22546,Caroline,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.5117803,38.0194678,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10422109,Anderson Area Medical Center - Urgent Care Center,864-512-6568,"2000 East Greenville Street,  ",Anderson,SC,29621,Anderson,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-82.6288911,34.5456138,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_3257,urgent care
10993708,Pediatric Immediate Care,631-956-3516,"150 Sunrise Highway, Suite 200",Lindenhurst,NY,11757,Suffolk,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-73.3759571,40.7037653,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11524592,Old Town Manassas Medical Center Incorporated,703-365-0397,"9309 Centreville Road,  ",Manassas,VA,20110,Manassas City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.468373,38.7528106,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11522299,Family Docs On Call,540-341-1734,"493 Blackwell Road, Suite 202",Warrenton,VA,20186,Fauquier,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.7897774,38.7250467,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10192186,Norton Immediate Care Center - Shepherdsville,502-543-7480,"115 Huston Drive,  ",Shepherdsville,KY,40165,Bullitt,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-85.6776338,38.0056709,TGS,2008Q1,BLOCKFACE,YES,TGS,UC_1715,urgent care
10843306,Medcare Walk In Clinic,770-773-9902,"14b Legacy Way,  ",Adairsville,GA,30103,Bartow,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.9299756,34.3711599,TGS,2008Q1,ONENTITY,YES,TGS, ,urgent care
10421745,Norton Immediate Care Center - Fern Creek,502-239-8431,"9340 Cedar Center Way,  ",Louisville,KY,40291,Jefferson,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-85.5884277,38.1449465,TGS,2008Q1,ONENTITY,YES,TGS,UC_1767,urgent care
11513028,Crisp Regional Clinic And Urgent Care,229-271-9330,"216 Hospital Drive,  ",Cordele,GA,31015,Crisp,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-83.780079,31.9765381,TGS,2008Q1,ONENTITY,YES,TGS, ,urgent care
11524594,Southern Illinois Immediate Care,618-998-1900,"805 West Deyoung Street, Suite E",Marion,IL,62959,Williamson,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-88.9334394,37.7404885,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10843289,Medexpress Urgent Care - Boca Raton,561-314-4650,"19090 State Road 7,  ",Boca Raton,FL,33498,Palm Beach,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.2028522,26.3934514,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10843414,Prompt Medical Care,770-971-8881,"1378 Roswell Road,  ",Marietta,GA,30062,Cobb,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.5124268,33.9505474,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10844359,Baptist Promptcare,502-412-1112,"3215 Westport Green Place,  ",Louisville,KY,40241,Jefferson,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-85.5624122,38.2918336,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10192931,Vinings Family Health Care Center And Internal Medicine,770-436-2444,"4199 Paces Ferry Road Northwest, Suite A",Atlanta,GA,30339,Cobb,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.4559988,33.8598364,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_1296,urgent care
10192501,Health Care Plus,804-526-2121,"436 Clairmont Court, 100",Colonial Heights,VA,23834,Colonial Heights City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-77.3992886,37.2678459,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_3751,urgent care
10844543,Doctors Care - Sango Clinic,931-245-2400,"2302 Madison Street,  ",Clarksville,TN,37043,Montgomery,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-87.2707978,36.5067394,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10844163,Physicians Immediate Med,770-947-1112,"9390 The Landing Drive,  ",Douglasville,GA,30135,Douglas,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-84.7381819,33.7272895,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
11524589,Carilion Clinic Urgent Care - Galax,276-236-5181,"199 Hospital Drive,  ",Galax,VA,24333,Galax City,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.9228475,36.672308,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,urgent care
10470263,Springs Urgent Care,270-852-1632,"2200 East Parrish Avenue, Building C",Owensboro,KY,42303,Daviess,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-87.0773813,37.7587593,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,urgent care
10844445,Hillcrest Urgent Care,336-760-8999,"2337 Winterhaven Lane,  ",Winston Salem,NC,27103,Forsyth,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-80.3258887,36.0506645,TGS,2008Q1,ONENTITY,YES,TGS, ,urgent care
10844263,Eden Hill Express Care,302-674-1999,"200 Banning Street, Suite 170",Dover,DE,19904,Kent,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-75.5324097,39.1540808,TGS,2008Q1,BLOCKFACE,YES,TGS, ,urgent care
10421698,Immediate Care Center,317-598-9918,"6620 Binford Medical Drive,  ",Indianapolis,IN,46220,Marion,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-86.0755944,39.8779096,TGS,2008Q1,ONENTITY,YES,TGS,UC_1582,urgent care
10843339,Solantic Walk-In Urgent Care - Lake Mary,407-333-0160,"136 Parliament Loop, Suite 102",Lake Mary,FL,32746,Seminole,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-81.3265143,28.7556916,TGS,2008Q1,ONENTITY,YES,TGS, ,urgent care
11527308,Medi Urgent Care Center,864-882-1420,"111 Carter Park Drive,  ",Seneca,SC,29678,Oconee,NA, ,NA,621493,"Urgent Medical Care Centers And Clinics (Except Hospitals), Freestanding",-82.9871087,34.6844366,TGS,2008Q1,ONENTITY,YES,TGS, ,urgent care
