OBJECTID,STATE,LEVEL_,DEFINITION,SOURCE,SOURCEDATE
62,IN,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.state.in.us/isdh/24972.htm,2019-05-16T00:00:00.000Z
65,KS,LEVEL I,"A hospital that has the capability to provide the highest level of trauma care for every aspect of injury, from prevention through rehabilitation.",http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2019-05-16T00:00:00.000Z
66,KS,LEVEL II,"A hospital that provides initial trauma care, but is not necessarily able to provide the same comprehensive care as that provided by a level I trauma center, and doesn't have trauma research as a primary objective",http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2019-05-16T00:00:00.000Z
67,KS,LEVEL III,A hospital that provides initial trauma care or arranges for the appropriate transfer of trauma patients to a level I trauma center or a level II trauma center.,http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2019-05-16T00:00:00.000Z
68,KS,LEVEL IV,"A hospital that provides urgent care for injured persons and the timely transfer of the seriously injured to a level I trauma center, level II trauma center, or level III trauma center as appropriate",http://www.kstrauma.org/download/KS_Register_Publication_of_Administrative_Regs.pdf,2019-05-16T00:00:00.000Z
69,KY,LEVEL I,"Provides screening and initial trauma care of the injured patient regardless of the severity of injury; emphasis on research and education",https://www.kyha.com/assets/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2019-05-16T00:00:00.000Z
70,KY,LEVEL II,Provides screening and initial trauma care of the injured patient regardless of the severity of injury.,https://www.kyha.com/assets/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2019-05-16T00:00:00.000Z
71,KY,LEVEL III,"Provides prompt assessment, resuscitation, emergency operations and stabilization; Arranges for transfer to a facility that can provide trauma care at a higher level; Serves communities that do not have immediate access to a Level I or Level II trauma center",https://www.kyha.com/assets/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2019-05-16T00:00:00.000Z
72,KY,LEVEL IV,"Provides advanced trauma life support before a patient is transferred to a higher level of care; Is located in a hospital emergency department",https://www.kyha.com/assets/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2019-05-16T00:00:00.000Z
73,KY,LEVEL I PEDIATRIC,"Provides screening and initial trauma care of the injured pediatric patient regardless of the severity of injury; emphasis on research and education",https://www.kyha.com/assets/docs/TraumaDocs/902KARChapter28MarkedUp.pdf,2019-05-16T00:00:00.000Z
74,LA,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://ldh.la.gov/index.cfm/page/1809,2019-05-16T00:00:00.000Z
75,LA,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://ldh.la.gov/index.cfm/page/1809,2019-05-16T00:00:00.000Z
76,LA,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://ldh.la.gov/index.cfm/page/1809,2019-05-16T00:00:00.000Z
77,MA,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2019-05-16T00:00:00.000Z
78,MA,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2019-05-16T00:00:00.000Z
79,MA,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2019-05-16T00:00:00.000Z
80,MA,LEVEL I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2019-05-16T00:00:00.000Z
81,MA,LEVEL II PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2019-05-16T00:00:00.000Z
82,MD,PARC,"Primary Adult Resource Center; Fellowship Training in Trauma and 24 hour dedicated facilities and specialty surgeons.",http://www.miemss.org/home/hospitals/trauma-centers,2019-05-16T00:00:00.000Z
83,MD,LEVEL I,"A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.miemss.org/home/hospitals/trauma-centers,2019-05-16T00:00:00.000Z
84,MD,LEVEL II,"A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.miemss.org/home/hospitals/trauma-centers,2019-05-16T00:00:00.000Z
85,MD,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available.",http://www.miemss.org/home/hospitals/trauma-centers,2019-05-16T00:00:00.000Z
86,MD,LEVEL PEDIATRIC,"A Pediatric Trauma Center has the capability of providing leadership and comprehensive, definitive pediatric trauma care for the most severely injured children within its geographic area.",http://www.miemss.org/home/hospitals/trauma-centers,2019-05-16T00:00:00.000Z
87,ME,REGIONAL TRAUMA CENTER,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,2019-05-16T00:00:00.000Z
88,ME,TRAUMA SYSTEM HOSPITAL,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,2019-05-16T00:00:00.000Z
89,MI,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2019-05-16T00:00:00.000Z
90,MI,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2019-05-16T00:00:00.000Z
91,MI,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2019-05-16T00:00:00.000Z
92,MI,LEVEL IV,Level IV Trauma Centers are small rural facilities that provide initial evaluation and assessment of injured patients prior to transfer to a larger referral facility.,http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2019-05-16T00:00:00.000Z
93,MI,LEVEL I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Pediatric Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2019-05-16T00:00:00.000Z
94,MI,LEVEL II PEDIATRIC,"A Level II Trauma Center provides comprehensive pediatric trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2019-05-16T00:00:00.000Z
95,MN,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",https://www.revisor.mn.gov/statutes/?id=144.605,2019-05-16T00:00:00.000Z
96,MN,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",https://www.revisor.mn.gov/statutes/?id=144.605,2019-05-16T00:00:00.000Z
97,MN,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.health.state.mn.us/traumasystem/hospresources/index.html,2019-05-16T00:00:00.000Z
98,MN,LEVEL IV,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.health.state.mn.us/traumasystem/hospresources/index.html,2019-05-16T00:00:00.000Z
99,MN,LEVEL I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.revisor.mn.gov/statutes/?id=144.605,2019-05-16T00:00:00.000Z
100,MN,LEVEL II PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.revisor.mn.gov/statutes/?id=144.605,2019-05-16T00:00:00.000Z
